Scenario,AccX_Mean,AccX_RMS,AccX_Skew,AccX_Kurt,AccX_PeakFreq_Hz
Anomalia,0.0203,0.2198,-0.012,-0.2488,2880.0
Anomalia,0.009,0.1684,0.0321,0.8005,3120.0
Anomalia,0.0089,0.0905,-0.6538,0.6006,2400.0
Anomalia,0.0298,0.0961,-0.1951,0.0961,2880.0
Anomalia,0.0076,0.1083,-0.3471,0.0237,2880.0
Anomalia,0.0173,0.1037,-0.2888,0.4682,2880.0
Anomalia,0.0164,0.1165,-0.2392,-0.4738,2880.0
Anomalia,-0.0021,0.1097,-0.1414,-0.6156,2880.0
Anomalia,0.0175,0.0918,-0.0862,-0.7022,2880.0
Anomalia,0.0089,0.0907,-0.16,-0.8754,2880.0
Anomalia,0.0111,0.0807,-0.2214,-0.774,2880.0
Anomalia,0.0264,0.0776,-0.4196,-0.5946,3120.0
Anomalia,0.0144,0.2615,-0.08,4.7312,3120.0
Anomalia,0.0156,0.3345,-0.3577,1.5377,2880.0
Anomalia,0.0194,0.3435,-0.3453,1.1374,2640.0
Anomalia,-0.0028,0.3474,-0.1533,0.8762,2640.0
Anomalia,0.0137,0.2461,-0.7335,2.8348,2880.0
Anomalia,0.0149,0.1311,0.2124,-0.3682,2400.0
Anomalia,0.0005,0.1274,-0.263,-0.5513,2880.0
Anomalia,0.0238,0.1175,-0.7254,0.3011,2640.0
Anomalia,-0.0007,0.1184,-0.5099,-0.3226,2880.0
Anomalia,0.0128,0.1157,-0.7713,0.0934,480.0
Anomalia,0.0268,0.0934,-0.819,0.066,480.0
Anomalia,0.0031,0.0883,-0.4723,-0.419,2880.0
Anomalia,0.022,0.0814,0.0179,-0.2614,2880.0
Anomalia,0.0103,0.085,0.2466,-0.3881,2880.0
Anomalia,0.0088,0.1007,0.3876,-0.4513,2640.0
Anomalia,0.0311,0.102,0.0239,-0.5076,2640.0
Anomalia,0.0117,0.0951,0.3263,-0.4038,2640.0
Anomalia,0.0156,0.0913,0.2801,-0.2752,2880.0
Anomalia,0.0148,0.0682,0.2301,-1.0556,480.0
Anomalia,-0.0064,0.0664,0.4721,-0.7997,2640.0
Anomalia,0.0232,0.0773,-0.0648,-1.1001,480.0
Anomalia,0.0156,0.075,-0.0025,-0.9675,480.0
Anomalia,0.0157,0.0698,-0.0725,-0.6205,480.0
Anomalia,0.0269,0.0619,-0.0139,0.312,480.0
Anomalia,0.0007,0.0472,-0.5328,-0.1256,2400.0
Anomalia,0.0147,0.0705,2.1799,9.6658,2880.0
Anomalia,0.0154,0.1438,0.2784,1.4277,2880.0
Anomalia,0.0114,0.1887,0.0603,-0.3142,2880.0
Anomalia,0.0226,0.2053,-0.0488,-0.8467,2880.0
Anomalia,0.0132,0.2091,-0.0036,-1.0402,2880.0
Anomalia,0.0082,0.1946,-0.0041,-0.9636,2640.0
Anomalia,0.0083,0.157,0.0908,-0.6046,2640.0
Anomalia,0.0055,0.1376,-0.0551,0.046,3120.0
Anomalia,0.009,0.1248,-0.1369,0.5926,2640.0
Anomalia,0.0148,0.0819,-0.0705,-0.1227,3120.0
Anomalia,0.0042,0.0798,0.0731,-0.0736,3120.0
Anomalia,0.0208,0.0998,0.4955,-0.0392,3120.0
Anomalia,0.0041,0.1154,0.2773,-0.0866,2640.0
Anomalia,0.0073,0.1164,0.1556,-0.2405,480.0
Anomalia,0.031,0.1142,-0.2291,0.1353,2880.0
Anomalia,0.0085,0.0926,-0.3944,0.6908,240.0
Anomalia,0.0273,0.0788,-0.1107,-0.777,240.0
Anomalia,0.0149,0.071,0.1829,-0.6013,480.0
Anomalia,-0.0066,0.0694,0.6389,-0.0264,480.0
Anomalia,0.0185,0.0831,0.2409,-0.9261,720.0
Anomalia,0.011,0.0709,0.3341,-0.4385,240.0
Anomalia,0.0147,0.0814,0.1672,-0.4112,240.0
Anomalia,0.0323,0.149,0.0447,1.3959,3120.0
Anomalia,-0.0061,0.1568,0.3461,0.9991,2640.0
Anomalia,0.0094,0.1655,0.1258,0.2779,2640.0
Anomalia,0.0127,0.1624,0.0842,0.4878,2880.0
Anomalia,0.0031,0.1092,-0.3448,0.4032,2880.0
Anomalia,0.0323,0.1039,0.2437,-0.8512,2880.0
Anomalia,0.0088,0.0901,0.655,-0.2328,2880.0
Anomalia,0.0125,0.0947,0.4911,-0.5631,2880.0
Anomalia,0.0151,0.0954,0.2912,-0.7519,2880.0
Anomalia,0.0027,0.0792,-0.0853,-0.7389,2640.0
Anomalia,0.02,0.0829,-0.3415,-0.5876,2880.0
Anomalia,0.0132,0.0739,-0.3134,-0.3971,2880.0
Anomalia,0.0127,0.0617,-0.1545,0.1275,2880.0
Anomalia,0.0193,0.0676,0.6815,0.3722,2640.0
Anomalia,0.0066,0.0989,-0.2383,0.902,2640.0
Anomalia,0.0077,0.1089,-0.2642,0.0185,3120.0
Anomalia,0.0208,0.1201,-0.286,-0.3637,3120.0
Anomalia,0.0001,0.1192,-0.0396,-0.5672,3120.0
Anomalia,0.0223,0.0965,-0.1503,-0.4519,3120.0
Anomalia,0.0196,0.0892,0.0506,-0.255,480.0
Anomalia,-0.0049,0.1005,-0.4246,-0.1813,240.0
Anomalia,0.0269,0.1212,-0.431,-0.0261,2640.0
Anomalia,0.0114,0.1154,-0.138,0.1062,2640.0
Anomalia,0.0057,0.115,-0.0688,0.1227,2640.0
Anomalia,0.0344,0.1002,-0.0193,0.7237,480.0
Anomalia,0.0048,0.0726,-0.1776,-0.5163,480.0
Anomalia,0.0061,0.0831,0.1376,-0.5862,480.0
Anomalia,0.0244,0.0864,0.0529,-0.7213,240.0
Anomalia,-0.005,0.0821,0.4922,-0.1964,2640.0
Anomalia,0.0287,0.0872,-0.0725,-0.5625,480.0
Anomalia,0.02,0.0823,-0.1934,-0.6707,480.0
Anomalia,0.0019,0.0961,-0.1923,-0.1376,3120.0
Anomalia,0.026,0.1004,-0.4836,0.1592,240.0
Anomalia,-0.0023,0.0954,-0.0377,0.1333,2880.0
Anomalia,0.0209,0.107,-0.0498,0.0062,2640.0
Anomalia,0.0267,0.0925,0.3908,-0.3136,480.0
Anomalia,0.006,0.085,0.7353,0.3782,480.0
Anomalia,0.0235,0.0833,0.694,-0.0382,240.0
Anomalia,-0.0013,0.0708,0.2715,-0.7567,3120.0
Anomalia,0.0145,0.081,0.6219,0.7186,480.0
Anomalia,0.0257,0.0879,0.3,0.1505,2640.0
Anomalia,0.0079,0.0879,0.5968,0.1997,3120.0
Anomalia,0.0223,0.0833,0.5178,0.5278,3120.0
Anomalia,0.006,0.0772,-0.1479,-0.6993,3120.0
Anomalia,-0.0021,0.0683,-0.173,-0.6369,2880.0
Anomalia,0.0212,0.0738,-0.3748,-0.2095,240.0
Anomalia,0.011,0.0714,-0.0746,-0.3236,2400.0
Anomalia,0.0146,0.0822,-0.2286,0.157,2640.0
Anomalia,0.0298,0.0864,-0.4778,0.4689,2640.0
Anomalia,0.0011,0.0931,-0.264,-0.4366,2400.0
Anomalia,0.0125,0.1019,-0.4082,-0.7114,2400.0
Anomalia,0.0158,0.0875,-0.4877,-0.312,2640.0
Anomalia,0.0005,0.089,-0.3657,-0.6445,2880.0
Anomalia,0.0262,0.0847,-0.3097,-0.1495,2880.0
Anomalia,0.0222,0.0796,-0.3358,0.0188,2880.0
Anomalia,-0.0015,0.0919,-0.2895,-0.4761,2880.0
Anomalia,0.0243,0.1023,-0.1994,-0.2458,240.0
Anomalia,-0.0024,0.1004,0.0838,-0.3264,480.0
Anomalia,0.0004,0.1039,0.0953,-0.5475,480.0
Anomalia,0.0411,0.1118,0.1126,-0.6061,2640.0
Anomalia,-0.0024,0.1099,0.3726,-0.5641,240.0
Anomalia,0.0268,0.1214,0.1416,-0.9949,480.0
Anomalia,0.0124,0.1189,0.3644,-0.8043,480.0
Anomalia,-0.0115,0.104,0.4828,-0.3838,2400.0
Anomalia,0.0306,0.1447,0.5654,0.0036,2640.0
Anomalia,0.0004,0.1497,0.718,0.2265,2640.0
Anomalia,0.022,0.1553,0.4543,-0.2154,2880.0
Anomalia,0.0253,0.1573,0.417,-0.3347,2880.0
Anomalia,-0.0063,0.1186,0.3403,-0.1132,480.0
Anomalia,0.0282,0.1013,0.057,-0.049,2640.0
Anomalia,0.0097,0.0912,-0.0545,-0.5855,480.0
Anomalia,0.0085,0.11,-0.6057,0.9563,480.0
Anomalia,0.0293,0.2483,-0.0438,1.8742,2640.0
Anomalia,0.0017,0.2923,0.0325,0.1152,2640.0
Anomalia,0.0121,0.3058,-0.0639,-0.283,2640.0
Anomalia,0.0207,0.3071,-0.1042,-0.3236,2880.0
Anomalia,0.0053,0.2269,-0.3177,-0.5331,2880.0
Anomalia,0.0229,0.1635,-0.3405,-0.1148,2880.0
Anomalia,0.0179,0.139,-0.3639,-0.0559,2880.0
Anomalia,0.0054,0.1197,-0.6014,0.6264,2880.0
Anomalia,0.0192,0.0737,-0.773,0.0296,2880.0
Anomalia,-0.001,0.0697,-0.2788,-0.4478,2640.0
Anomalia,0.0042,0.0629,-0.362,-0.2415,2640.0
Anomalia,0.0158,0.0716,0.4298,0.1623,240.0
Anomalia,-0.0026,0.1144,-0.2017,1.444,3120.0
Anomalia,0.019,0.1751,-0.0244,0.3127,3120.0
Anomalia,0.0138,0.2147,0.1835,-0.4583,3120.0
Anomalia,-0.0029,0.222,0.3019,-0.6309,2880.0
Anomalia,0.0303,0.2132,0.035,-0.5219,2640.0
Anomalia,0.0087,0.1696,0.3164,0.4369,2640.0
Anomalia,0.0157,0.1315,0.0396,-0.5623,2880.0
Anomalia,0.0297,0.1471,0.0849,0.9017,2400.0
Anomalia,-0.0135,0.1959,-0.0935,0.4632,2640.0
Anomalia,0.0216,0.2477,-0.0079,-0.3926,2640.0
Anomalia,0.0132,0.2454,0.0481,-0.3464,2640.0
Anomalia,0.0025,0.2273,0.1636,0.1132,2640.0
Anomalia,0.0375,0.1791,0.4849,1.5011,2640.0
Anomalia,-0.0008,0.1051,-0.2397,-0.8331,2640.0
Anomalia,0.0048,0.1032,-0.0753,-0.3827,2640.0
Anomalia,0.0219,0.1132,-0.0565,-0.4797,2880.0
Anomalia,-0.0018,0.1151,0.2721,-0.516,3360.0
Anomalia,0.0263,0.1273,0.4244,-0.5169,3120.0
Anomalia,0.0155,0.1213,0.5268,-0.1952,3120.0
Anomalia,0.0013,0.1065,0.7704,1.0296,3120.0
Anomalia,0.0201,0.1028,0.6802,1.0147,3120.0
Anomalia,0.001,0.0792,0.3086,-0.0772,3120.0
Anomalia,0.0208,0.1102,1.322,3.3006,3120.0
Anomalia,0.0236,0.1469,0.4608,0.7086,2400.0
Anomalia,0.006,0.1607,0.4449,0.0602,2640.0
Anomalia,0.015,0.1597,0.294,0.0664,2640.0
Anomalia,-0.0008,0.1496,0.0591,-0.4791,2400.0
Anomalia,0.0039,0.1203,-0.1422,-0.5683,2400.0
Anomalia,0.0205,0.1042,0.0743,-0.3912,3120.0
Anomalia,0.0031,0.138,-0.3725,0.3082,3120.0
Anomalia,0.0175,0.154,-0.0149,0.3597,3120.0
Anomalia,0.0152,0.1708,0.1172,-0.2481,3120.0
Anomalia,-0.0033,0.178,0.2161,-0.4886,2640.0
Anomalia,0.024,0.1603,0.298,-0.5044,2400.0
Anomalia,0.0116,0.1321,0.1921,-0.0317,2880.0
Anomalia,0.0068,0.1077,-0.1613,0.0518,3120.0
Anomalia,0.0313,0.0919,0.1711,-0.0245,3120.0
Anomalia,0.0041,0.0873,-0.4159,-0.678,2880.0
Anomalia,-0.0012,0.0969,-0.2803,-0.976,960.0
Anomalia,0.011,0.0991,-0.308,-0.7911,3120.0
Anomalia,-0.009,0.0923,0.1235,-0.416,3120.0
Anomalia,0.0254,0.0895,0.0612,-0.4512,480.0
Anomalia,0.0226,0.0801,0.4082,-0.3598,480.0
Anomalia,0.006,0.0811,0.2371,-0.2714,2400.0
Anomalia,0.0198,0.0961,0.0173,-0.7729,2400.0
Anomalia,-0.0064,0.0862,0.3592,-0.2876,2880.0
Anomalia,0.0092,0.0933,0.4063,-0.3229,2880.0
Anomalia,0.0259,0.0893,0.3846,-0.3215,2880.0
Anomalia,0.0089,0.074,0.9219,0.6875,240.0
Anomalia,0.0256,0.0768,0.817,-0.061,2880.0
Anomalia,0.0046,0.0753,0.099,-0.3394,480.0
Anomalia,0.0018,0.0821,0.2548,-0.5208,2640.0
Anomalia,0.0174,0.0897,-0.1142,-0.8634,2640.0
Anomalia,0.0048,0.0874,0.0833,-0.9002,2880.0
Anomalia,0.0207,0.0767,0.1056,-0.6456,2880.0
Anomalia,0.0134,0.073,-0.229,-0.4485,2880.0
Anomalia,0.0072,0.0744,-0.4826,-0.1418,2880.0
Anomalia,0.0133,0.0938,-0.0998,-0.3541,3120.0
Anomalia,0.0101,0.0971,0.0397,-0.601,3120.0
Anomalia,0.0112,0.0957,0.1958,-0.4754,2880.0
Anomalia,0.0226,0.101,0.0821,-0.6685,2880.0
Anomalia,0.0067,0.0872,0.0595,-0.1861,480.0
Anomalia,0.0127,0.0856,-0.1722,-0.0322,2640.0
Anomalia,0.0144,0.0868,-0.1955,-0.2399,480.0
Anomalia,-0.0007,0.1006,-0.2663,-0.1635,2880.0
Anomalia,0.0182,0.1029,-0.5311,-0.0908,2640.0
Anomalia,0.0139,0.1023,-0.4053,-0.1787,2640.0
Anomalia,0.0076,0.0963,-0.4081,0.1072,2640.0
Anomalia,0.0234,0.0694,-0.3264,-0.5787,2400.0
Anomalia,-0.0018,0.0707,-0.3957,-0.4987,480.0
Anomalia,0.0041,0.0731,-0.4685,-0.5214,480.0
Anomalia,0.0218,0.0824,-0.4797,-0.2239,240.0
Anomalia,-0.0016,0.0888,-0.2071,-0.6412,240.0
Anomalia,0.0323,0.0843,-0.7671,0.4076,480.0
Anomalia,0.0173,0.0818,-0.4045,-0.2174,480.0
Anomalia,-0.0009,0.0721,-0.4351,-0.4264,480.0
Anomalia,0.0318,0.0968,0.4,2.0937,240.0
Anomalia,0.0268,0.5283,0.7619,5.3992,2880.0
Anomalia,0.0192,0.7613,0.2503,0.9008,2880.0
Anomalia,0.0114,0.8135,0.2037,0.1067,2640.0
Anomalia,-0.0036,0.8182,0.2544,0.0547,2880.0
Anomalia,-0.0065,0.6342,0.0284,1.35,2880.0
Anomalia,0.0044,0.3299,-0.3305,1.1799,2880.0
Anomalia,0.0197,0.2107,-0.2405,-0.2822,3360.0
Anomalia,0.0204,0.2659,-0.1546,0.0704,3120.0
Anomalia,0.0084,0.2686,-0.0519,-0.0755,2880.0
Anomalia,0.0042,0.3008,-0.024,-0.608,2880.0
Anomalia,0.019,0.2917,0.0144,-0.4427,2880.0
Anomalia,-0.0012,0.2201,0.2818,0.1904,2880.0
Anomalia,0.0216,0.2149,0.0253,0.4015,2640.0
Anomalia,0.0154,0.1812,-0.0341,0.5592,480.0
