Scenario,AccX_Mean,AccX_RMS,AccX_Skew,AccX_Kurt,AccX_PeakFreq_Hz
Anomalia,0.0272,0.0807,0.1043,-0.5674,3360.0
Anomalia,0.008,0.0858,-0.0797,-0.0129,3360.0
Anomalia,0.0128,0.0962,-0.0418,-0.5809,3120.0
Anomalia,0.0046,0.1035,0.0506,-0.9783,3360.0
Anomalia,0.0107,0.1089,-0.0452,-1.1141,3360.0
Anomalia,0.0203,0.11,-0.0675,-1.2358,2880.0
Anomalia,0.0191,0.1149,0.0193,-1.2107,3120.0
Anomalia,0.02,0.1135,-0.0242,-1.0727,2880.0
Anomalia,0.007,0.1243,-0.1465,-0.7464,3360.0
Anomalia,0.0102,0.1143,-0.2966,-0.2337,3360.0
Anomalia,0.0072,0.1009,-0.5675,0.5492,3360.0
Anomalia,0.0184,0.1035,-0.5181,0.6336,3360.0
Anomalia,0.0181,0.0766,0.3972,-0.2806,3360.0
Anomalia,0.0228,0.0954,0.2583,-0.4415,2880.0
Anomalia,0.0178,0.1108,-0.0954,-0.5387,2880.0
Anomalia,0.0042,0.1131,-0.1168,-0.5383,2880.0
Anomalia,0.0195,0.1388,-0.1544,-0.5751,2880.0
Anomalia,0.0038,0.1529,-0.0857,-0.3901,2880.0
Anomalia,0.0211,0.146,-0.2865,0.0554,2880.0
Anomalia,0.0224,0.1376,-0.2207,0.5762,2880.0
Anomalia,0.0071,0.119,-0.1899,0.9938,3600.0
Anomalia,0.0147,0.1101,0.1589,-0.0257,3120.0
Anomalia,0.0064,0.1132,0.3686,-0.0012,3120.0
Anomalia,0.019,0.1936,0.2685,0.2615,2640.0
Anomalia,0.0278,0.2184,0.0831,-0.5274,2640.0
Anomalia,0.0145,0.2158,0.1417,-0.4057,2640.0
Anomalia,0.0135,0.2265,0.1315,-0.7276,2640.0
Anomalia,0.0016,0.1658,0.0583,-0.5106,2640.0
Anomalia,0.0084,0.1364,-0.1499,-0.4062,2640.0
Anomalia,0.0221,0.1202,0.0839,-0.2417,2640.0
Anomalia,0.0217,0.1064,0.3541,-0.329,2880.0
Anomalia,0.021,0.1313,-0.0193,-0.4171,2880.0
Anomalia,0.0105,0.1252,0.068,-0.0982,2880.0
Anomalia,0.0072,0.1596,-0.0231,-0.4483,2880.0
Anomalia,0.0061,0.1583,-0.0932,-0.3369,2880.0
Anomalia,0.0147,0.1373,-0.2505,0.6789,2880.0
Anomalia,0.0168,0.1319,-0.2905,1.2555,2880.0
Anomalia,0.0142,0.0832,-0.0115,3.167,3360.0
Anomalia,0.0224,0.1082,0.7216,2.1867,2640.0
Anomalia,0.0111,0.136,0.204,0.5934,2880.0
Anomalia,0.0134,0.151,0.1132,-0.3299,2880.0
Anomalia,0.019,0.171,-0.0197,-0.9907,2880.0
Anomalia,0.014,0.1648,-0.049,-1.1161,2880.0
Anomalia,0.0137,0.163,-0.0021,-1.1189,2880.0
Anomalia,0.0101,0.2108,0.0263,-0.6622,2880.0
Anomalia,0.0161,0.1998,-0.0459,-0.2284,2880.0
Anomalia,0.0092,0.2053,-0.0579,-0.3904,2880.0
Anomalia,0.0164,0.1985,-0.16,-0.1365,2880.0
Anomalia,0.0193,0.1543,-0.34,-0.5292,2880.0
Anomalia,0.0123,0.1657,-0.172,-0.8593,3360.0
Anomalia,0.0146,0.1659,-0.1345,-0.9431,2880.0
Anomalia,0.009,0.1637,-0.0101,-0.9692,2880.0
Anomalia,0.0095,0.149,0.0087,-0.7663,2640.0
Anomalia,0.0162,0.1316,-0.1622,-0.375,2640.0
Anomalia,0.0156,0.0969,-0.2421,-0.3968,2640.0
Anomalia,0.0184,0.0838,0.1021,-0.5469,2640.0
Anomalia,0.0169,0.1286,0.0103,0.8099,2640.0
Anomalia,0.0025,0.1349,0.192,0.2667,2640.0
Anomalia,0.0086,0.1383,0.1036,0.0305,2880.0
Anomalia,0.0196,0.1653,0.0583,-0.738,2640.0
Anomalia,0.0172,0.155,0.0226,-0.8391,2640.0
Anomalia,0.0155,0.1526,0.0535,-0.7467,2640.0
Anomalia,0.0113,0.1505,0.0996,-0.6742,2640.0
Anomalia,0.0078,0.119,-0.1392,0.0302,2640.0
Anomalia,0.01,0.1026,-0.096,-0.2036,3360.0
Anomalia,0.024,0.1088,-0.0825,-0.3333,2880.0
Anomalia,0.0188,0.1032,0.0491,0.0326,2880.0
Anomalia,0.0077,0.1089,-0.0142,-0.2538,3120.0
Anomalia,0.0069,0.1054,0.0067,-0.5216,3120.0
Anomalia,0.0058,0.0969,-0.0658,-0.2794,2880.0
Anomalia,0.0169,0.1055,-0.145,-0.6346,2640.0
Anomalia,0.0196,0.099,0.042,-0.6631,2640.0
Anomalia,0.0208,0.0889,0.2514,-0.7017,3120.0
Anomalia,0.0186,0.0885,0.2602,-0.6653,3120.0
Anomalia,0.0096,0.0835,0.3215,-0.3526,3360.0
Anomalia,0.0035,0.0877,0.2843,-0.4353,3120.0
Anomalia,0.0088,0.0866,0.169,-0.5854,3120.0
Anomalia,0.0145,0.0986,0.1893,-0.8012,3120.0
Anomalia,0.0129,0.1213,-0.074,-0.8573,2880.0
Anomalia,0.0267,0.135,-0.1277,-0.8826,2640.0
Anomalia,0.0153,0.1404,0.1014,-0.9519,2640.0
Anomalia,0.0044,0.148,0.0953,-1.0615,2640.0
Anomalia,0.0092,0.1416,0.1669,-0.9792,3120.0
Anomalia,0.0121,0.1705,0.1631,-0.8456,2880.0
Anomalia,0.0203,0.1887,0.0472,-1.1541,2880.0
Anomalia,0.0227,0.1773,0.1126,-0.8446,2880.0
Anomalia,0.0126,0.1709,0.2496,-0.6308,2880.0
Anomalia,0.0079,0.1492,0.2439,-0.7315,2880.0
Anomalia,0.001,0.132,0.1645,-0.7725,2880.0
Anomalia,0.0094,0.1596,0.2165,-0.6245,2880.0
Anomalia,0.0269,0.1596,-0.0221,-0.577,2880.0
Anomalia,0.0139,0.1444,0.1839,-0.0928,2880.0
Anomalia,0.0134,0.1485,0.1561,-0.1988,3360.0
Anomalia,0.0083,0.1177,-0.0641,-0.4847,3360.0
Anomalia,0.002,0.1154,0.0077,-0.3954,2880.0
Anomalia,0.0177,0.1211,-0.0364,-0.5182,2880.0
Anomalia,0.0188,0.1026,0.2329,-0.8349,2880.0
Anomalia,0.0209,0.1062,0.1173,-0.9843,2640.0
Anomalia,0.0103,0.1103,0.1399,-0.9888,2640.0
Anomalia,0.0028,0.1073,0.0054,-0.8383,2640.0
Anomalia,0.0081,0.1321,0.0252,-0.5556,2640.0
Anomalia,0.0104,0.1526,0.0746,-0.819,3360.0
Anomalia,0.0127,0.1691,-0.0189,-1.0971,2880.0
Anomalia,0.0194,0.1721,-0.0611,-1.1595,3120.0
Anomalia,0.0164,0.1558,0.0469,-0.9218,2880.0
Anomalia,0.0123,0.1817,0.0392,-0.4319,2640.0
Anomalia,0.0138,0.1773,0.0974,-0.3009,2880.0
Anomalia,0.0083,0.1709,0.1585,-0.0076,2880.0
Anomalia,0.0129,0.1732,0.0738,-0.1426,2880.0
Anomalia,0.0114,0.1312,0.2234,-0.7127,2880.0
Anomalia,0.012,0.1486,0.0196,-0.494,2880.0
Anomalia,0.0122,0.1541,0.0067,-0.7077,2880.0
Anomalia,0.015,0.1628,-0.0408,-0.8743,2880.0
Anomalia,0.0032,0.1625,-0.0458,-0.7663,3120.0
Anomalia,0.0175,0.1319,-0.255,-0.302,3120.0
Anomalia,0.0109,0.1326,-0.2382,-0.3774,2640.0
Anomalia,0.0041,0.1311,-0.2924,-0.338,3360.0
Anomalia,0.0173,0.1351,-0.1928,-0.7372,3360.0
Anomalia,0.0127,0.1411,0.0407,-0.8289,3360.0
Anomalia,0.0149,0.1326,0.1146,-0.5777,2640.0
Anomalia,0.0128,0.1247,0.2713,-0.8143,2640.0
Anomalia,0.0147,0.1165,0.3247,-0.6283,2640.0
Anomalia,0.0119,0.1246,0.1784,-0.9209,2640.0
Anomalia,0.0061,0.1426,-0.0228,-1.156,2640.0
Anomalia,0.01,0.1406,-0.0479,-1.039,2640.0
Anomalia,0.0173,0.1632,0.1751,-0.9069,2640.0
Anomalia,0.0127,0.1471,0.2735,-0.2949,2640.0
Anomalia,0.0214,0.1544,0.2476,-0.4035,2640.0
Anomalia,0.0125,0.1456,0.4141,0.0465,3120.0
Anomalia,0.0001,0.1142,0.1238,0.396,2640.0
Anomalia,0.0081,0.1215,0.0288,-0.1508,3120.0
Anomalia,0.0107,0.0858,0.1964,-0.9004,3120.0
Anomalia,0.0183,0.0931,0.2342,-0.963,2880.0
Anomalia,0.0194,0.0874,0.3429,-0.8452,2880.0
Anomalia,0.0098,0.0868,0.2401,-0.4094,2640.0
Anomalia,0.012,0.117,0.0886,-0.0947,3120.0
Anomalia,0.0109,0.1081,0.0367,0.6168,2880.0
Anomalia,0.0118,0.1351,0.0039,0.3523,2640.0
Anomalia,0.0157,0.1492,-0.0106,0.1978,3360.0
Anomalia,0.0143,0.1385,0.1172,0.6649,3360.0
Anomalia,0.0079,0.1879,-0.2424,0.2259,3360.0
Anomalia,0.0125,0.2139,-0.0653,0.2139,3360.0
Anomalia,0.0126,0.2028,-0.0922,0.6908,2880.0
Anomalia,0.0071,0.1949,-0.0673,1.1888,2880.0
Anomalia,0.0254,0.1541,0.2187,3.2092,2640.0
Anomalia,0.0115,0.0844,0.2807,-0.3236,2880.0
Anomalia,0.0168,0.1024,0.395,-0.4116,2880.0
Anomalia,0.0053,0.1149,0.1494,-0.6554,2880.0
Anomalia,0.0002,0.1311,0.383,-0.7787,2880.0
Anomalia,0.0197,0.1342,0.0694,-0.9567,2880.0
Anomalia,0.0108,0.134,0.0349,-0.9464,2880.0
Anomalia,0.0223,0.1333,0.0524,-0.95,2880.0
Anomalia,0.0164,0.1313,-0.2668,-0.5802,2640.0
Anomalia,-0.0001,0.1422,-0.0254,-0.6509,2640.0
Anomalia,0.0054,0.1315,-0.0976,-0.2194,2640.0
Anomalia,0.012,0.1463,-0.2408,-0.192,3360.0
Anomalia,0.0108,0.1473,-0.0375,-0.3238,3360.0
Anomalia,0.02,0.1454,0.0008,-0.4274,3360.0
Anomalia,0.0064,0.1868,-0.188,0.0029,2880.0
Anomalia,0.0086,0.2141,0.0275,-0.299,2880.0
Anomalia,0.0125,0.21,-0.0216,-0.1374,2880.0
Anomalia,0.0015,0.2211,-0.0097,-0.5158,2640.0
Anomalia,0.0259,0.2028,0.0403,-0.6669,2640.0
Anomalia,0.0144,0.1529,0.0929,-0.4667,2640.0
Anomalia,0.0045,0.1439,0.2495,-0.1573,2880.0
Anomalia,0.0152,0.1116,0.9013,0.7062,3120.0
Anomalia,0.0072,0.0698,-0.0238,-0.8192,3120.0
Anomalia,0.0108,0.0923,-0.4998,0.4106,3120.0
Anomalia,0.0167,0.0946,-0.5324,0.5421,3120.0
Anomalia,0.0183,0.1227,-0.2809,-0.1799,2880.0
Anomalia,0.0095,0.1331,-0.0778,-0.7711,3360.0
Anomalia,0.0131,0.1204,0.0435,-0.5318,3120.0
Anomalia,0.0054,0.1326,-0.0703,-0.7762,3120.0
Anomalia,0.0106,0.118,-0.1083,-0.5971,3120.0
Anomalia,0.0104,0.1054,-0.1251,0.0361,2880.0
Anomalia,0.0129,0.1044,-0.1038,0.228,3360.0
Anomalia,0.0222,0.0866,0.6775,0.2944,3360.0
Anomalia,0.0022,0.0889,-0.3273,1.399,3120.0
Anomalia,0.0128,0.1192,-0.0861,0.2204,2640.0
Anomalia,0.0022,0.1216,-0.0354,-0.0064,2640.0
Anomalia,0.0079,0.1428,0.0365,-0.5851,2880.0
Anomalia,0.0192,0.1567,0.0044,-0.8971,2880.0
Anomalia,0.0113,0.1359,0.1043,-0.3381,2880.0
Anomalia,0.0159,0.148,-0.0121,-0.7112,2880.0
Anomalia,0.0093,0.1228,-0.0828,0.1436,3120.0
Anomalia,0.0096,0.1005,-0.1871,0.2382,3120.0
Anomalia,0.0166,0.1105,-0.2662,-0.364,2640.0
Anomalia,0.0154,0.0941,-0.1101,-0.686,2640.0
Anomalia,0.0057,0.1114,-0.108,-1.0438,2640.0
Anomalia,0.0127,0.1063,-0.2065,-0.9557,2880.0
Anomalia,-0.0017,0.117,-0.2023,-0.7484,2880.0
Anomalia,0.0119,0.142,0.0883,-0.7472,2880.0
Anomalia,0.0238,0.1374,0.0189,-0.5146,2880.0
Anomalia,0.0116,0.1539,0.08,-0.8722,2640.0
Anomalia,0.0181,0.145,0.1581,-0.7634,2640.0
Anomalia,0.0051,0.1151,0.0486,-0.1419,2640.0
Anomalia,0.0058,0.1166,0.075,-0.3943,2640.0
Anomalia,0.0102,0.1022,0.189,-0.8945,3360.0
Anomalia,0.0225,0.1058,0.2057,-0.8365,3360.0
Anomalia,0.0158,0.1104,0.1648,-0.9433,3360.0
Anomalia,0.011,0.1134,0.0529,-0.8089,2880.0
Anomalia,0.0085,0.103,0.0534,-0.5156,2880.0
Anomalia,0.0029,0.1109,0.0699,-0.6484,2640.0
Anomalia,0.0156,0.1336,0.0392,-0.5288,2640.0
Anomalia,0.0143,0.1367,0.0795,-0.445,3360.0
Anomalia,0.0186,0.1516,0.0803,-0.7102,2880.0
Anomalia,0.0098,0.1529,0.2359,-0.5797,3360.0
Anomalia,0.0082,0.1478,0.2446,-0.7028,3360.0
Anomalia,0.0129,0.136,0.243,-0.4224,3360.0
Anomalia,0.0049,0.1282,0.2097,-0.5858,3360.0
Anomalia,0.0209,0.1237,-0.1307,-0.8658,3360.0
Anomalia,0.0132,0.1113,-0.1011,-0.8308,3360.0
Anomalia,0.0121,0.1506,-0.1607,-0.422,3120.0
Anomalia,0.0122,0.1428,-0.1516,-0.0183,3120.0
Anomalia,0.0077,0.1458,0.0238,-0.1628,2880.0
Anomalia,0.0108,0.1558,-0.0738,-0.4747,2880.0
Anomalia,0.0159,0.1189,0.0015,-0.481,2880.0
Anomalia,0.02,0.1194,-0.0586,-0.4871,2880.0
Anomalia,0.0097,0.1087,-0.203,-0.2362,2880.0
Anomalia,0.0066,0.0914,-0.2031,-0.7709,3360.0
Anomalia,0.0061,0.1047,-0.1195,-0.7906,2880.0
Anomalia,0.0145,0.127,0.0304,-0.8202,2880.0
Anomalia,0.0145,0.1231,0.0912,-0.7236,2880.0
Anomalia,0.0188,0.1265,0.0426,-0.8468,2640.0
Anomalia,0.0113,0.1309,0.1908,-0.8011,3120.0
Anomalia,0.0061,0.1112,0.0974,-0.6278,3120.0
Anomalia,0.0054,0.1117,0.0499,-0.6743,3120.0
Anomalia,0.0146,0.1077,0.0671,-0.421,3120.0
Anomalia,0.0203,0.1004,0.0183,-0.9086,2880.0
Anomalia,0.0094,0.1006,0.2042,-0.8786,2880.0
Anomalia,0.0153,0.0954,0.1732,-0.6068,2880.0
Anomalia,0.0069,0.0835,0.1277,-0.0805,2880.0
Anomalia,0.0007,0.0779,-0.2964,0.0258,3360.0
Anomalia,0.0117,0.0735,-0.3509,0.3842,2880.0
Anomalia,0.0156,0.0863,-0.0281,-0.1708,2640.0
Anomalia,0.0154,0.1027,-0.0803,-0.7715,3120.0
Anomalia,0.0144,0.1207,-0.262,-0.3977,2640.0
Anomalia,0.0125,0.1354,-0.2785,-0.7803,2640.0
Anomalia,0.0089,0.1383,-0.244,-0.9054,2640.0
Anomalia,0.0078,0.1431,-0.2375,-0.9818,2880.0
Anomalia,0.0205,0.1604,-0.0281,-0.7431,2880.0
Anomalia,0.0124,0.1606,0.0203,-0.6663,2880.0
Anomalia,0.018,0.1555,-0.0878,-0.4064,2640.0
Anomalia,0.0141,0.1544,-0.0806,-0.3857,2640.0
Anomalia,0.0044,0.1343,-0.3349,-0.8377,2640.0
Anomalia,0.0117,0.1232,-0.2455,-0.8467,2640.0
Anomalia,0.0075,0.1514,0.1965,-0.5767,2640.0
Anomalia,0.0148,0.148,0.2184,-0.4747,2640.0
