Scenario,AccX_Mean,AccX_Std,AccX_Max,AccX_Min,AccX_RMS,AccX_Skew,AccX_Kurt,AccX_PeakFreq_Hz
Anomalia,0.0205,0.1376,0.339,-0.267,0.1391,0.0976,-0.7963,2640.0
Anomalia,0.0083,0.1347,0.339,-0.267,0.1349,0.1829,-0.6546,2640.0
Anomalia,0.0102,0.1381,0.339,-0.267,0.1384,0.0875,-0.8055,2640.0
Anomalia,0.0138,0.121,0.339,-0.2215,0.1218,0.2177,-0.4893,2880.0
Anomalia,0.0007,0.0992,0.2044,-0.2215,0.0992,-0.1432,-0.8488,2880.0
Anomalia,0.0194,0.0929,0.2044,-0.2155,0.0949,-0.2464,-0.6858,2880.0
Anomalia,0.0184,0.0796,0.1861,-0.1611,0.0818,-0.2222,-0.7242,2640.0
Anomalia,0.0193,0.0819,0.2076,-0.1554,0.0841,0.0327,-0.6977,2640.0
Anomalia,0.0163,0.0849,0.2076,-0.2249,0.0865,-0.1241,-0.2016,2640.0
Anomalia,-0.0032,0.0992,0.2076,-0.2249,0.0992,0.0274,-0.6106,2640.0
Anomalia,0.0062,0.1229,0.3148,-0.2249,0.123,0.2354,-0.6292,2640.0
Anomalia,0.0194,0.1384,0.3361,-0.2249,0.1397,0.2245,-0.8535,2640.0
Anomalia,0.0156,0.148,0.3361,-0.3119,0.1488,0.1068,-0.9558,2640.0
Anomalia,0.0264,0.1502,0.3361,-0.3119,0.1525,0.047,-0.9628,2640.0
Anomalia,0.0122,0.1344,0.3361,-0.3119,0.1349,0.1771,-0.552,2640.0
Anomalia,-0.0052,0.1163,0.2964,-0.3119,0.1164,-0.0372,-0.1291,2640.0
Anomalia,0.0097,0.1397,0.3926,-0.344,0.1401,0.1692,-0.0441,3360.0
Anomalia,0.004,0.1372,0.3926,-0.344,0.1372,0.313,0.2715,2880.0
Anomalia,0.0146,0.1402,0.3926,-0.344,0.1409,0.1805,-0.0022,2880.0
Anomalia,0.0254,0.1488,0.3926,-0.344,0.1509,0.0807,-0.5251,2880.0
Anomalia,0.0098,0.1543,0.3799,-0.3603,0.1546,-0.0083,-0.4782,2880.0
Anomalia,0.0127,0.1608,0.3613,-0.3603,0.1613,-0.1206,-0.7458,2880.0
Anomalia,0.0054,0.1983,0.4053,-0.4348,0.1984,-0.1334,-0.9394,2880.0
Anomalia,0.0022,0.1996,0.4053,-0.4348,0.1996,-0.0724,-0.955,2880.0
Anomalia,0.0218,0.182,0.4053,-0.4348,0.1833,-0.2105,-0.6783,2880.0
Anomalia,0.0234,0.1815,0.4053,-0.4348,0.183,-0.253,-0.636,2880.0
Anomalia,0.0216,0.1552,0.3188,-0.2802,0.1567,-0.0525,-1.1344,2640.0
Anomalia,0.0211,0.1485,0.2912,-0.2802,0.15,-0.0555,-1.0633,2640.0
Anomalia,-0.0016,0.1563,0.2912,-0.3146,0.1563,-0.0908,-1.0366,2640.0
Anomalia,-0.0009,0.1773,0.4381,-0.3711,0.1774,0.167,-0.6736,2880.0
Anomalia,0.0082,0.1962,0.4381,-0.3711,0.1964,0.2131,-0.7859,2880.0
Anomalia,0.011,0.1991,0.4381,-0.3711,0.1994,0.2081,-0.8501,2640.0
Anomalia,0.0209,0.1891,0.4381,-0.3711,0.1902,0.2412,-0.705,2880.0
Anomalia,0.0127,0.1661,0.4118,-0.3194,0.1666,0.2428,-0.5317,2880.0
Anomalia,0.0077,0.122,0.3167,-0.2695,0.1223,0.1376,-0.3563,2880.0
Anomalia,0.0094,0.1114,0.2487,-0.2695,0.1118,-0.1496,-0.2545,2880.0
Anomalia,0.0116,0.097,0.2487,-0.2695,0.0977,-0.1833,0.5404,2880.0
Anomalia,0.0243,0.1103,0.2973,-0.2731,0.1129,0.3064,0.2122,2400.0
Anomalia,0.0188,0.1465,0.3077,-0.3874,0.1477,-0.1606,-0.18,2640.0
Anomalia,0.0057,0.1623,0.3077,-0.3874,0.1624,-0.1085,-0.6964,2640.0
Anomalia,0.0142,0.1806,0.3163,-0.3874,0.1812,-0.0933,-1.1421,2640.0
Anomalia,0.0025,0.2016,0.4076,-0.3874,0.2017,-0.0175,-1.0615,2640.0
Anomalia,0.0132,0.2079,0.4076,-0.3861,0.2084,0.0143,-1.1433,2640.0
Anomalia,0.0229,0.2061,0.4076,-0.3861,0.2074,-0.0105,-1.0806,2640.0
Anomalia,0.0058,0.1896,0.4076,-0.3861,0.1897,0.1756,-0.5624,2640.0
Anomalia,0.0137,0.1485,0.3619,-0.3405,0.1492,0.2308,0.0239,2400.0
Anomalia,0.0096,0.1539,0.431,-0.4195,0.1542,-0.1568,0.7314,2400.0
Anomalia,0.005,0.1667,0.47,-0.4195,0.1667,0.0135,0.5057,2640.0
Anomalia,0.0177,0.1808,0.47,-0.4195,0.1817,-0.1053,-0.2435,2640.0
Anomalia,0.0144,0.1821,0.47,-0.4195,0.1827,-0.0561,-0.3189,2880.0
Anomalia,0.0125,0.1429,0.47,-0.3192,0.1434,0.2592,0.1581,2880.0
Anomalia,0.0096,0.1189,0.2896,-0.3321,0.1193,-0.1361,-0.179,2880.0
Anomalia,0.0065,0.1278,0.3768,-0.3321,0.1279,0.0917,0.3515,2880.0
Anomalia,0.0088,0.132,0.3768,-0.3321,0.1323,0.1048,0.1801,2880.0
Anomalia,0.0184,0.1483,0.3768,-0.3321,0.1494,0.1435,-0.3366,2880.0
Anomalia,0.0167,0.14,0.3768,-0.2981,0.141,0.3955,-0.2428,2880.0
Anomalia,0.0248,0.1508,0.4886,-0.338,0.1528,0.5184,0.1719,2880.0
Anomalia,0.0146,0.1802,0.4886,-0.4151,0.1808,0.187,-0.2421,2880.0
Anomalia,0.002,0.1692,0.4886,-0.4151,0.1692,0.2967,0.2444,2640.0
Anomalia,0.0176,0.1727,0.4886,-0.4151,0.1736,0.0829,-0.0334,2640.0
Anomalia,0.0042,0.161,0.3761,-0.4151,0.1611,-0.2204,-0.3447,2640.0
Anomalia,0.0174,0.1267,0.2545,-0.3021,0.1279,-0.1618,-0.5935,2640.0
Anomalia,0.0182,0.1339,0.2545,-0.3021,0.1351,-0.2586,-0.7612,2640.0
Anomalia,0.0058,0.1269,0.2545,-0.3021,0.127,-0.1405,-0.4894,2640.0
Anomalia,0.0088,0.1067,0.2422,-0.2537,0.107,0.0895,-0.5705,2400.0
Anomalia,0.006,0.1026,0.2401,-0.2537,0.1028,-0.063,-0.5054,2880.0
Anomalia,0.0076,0.1113,0.2466,-0.3146,0.1115,-0.2016,-0.0428,2880.0
Anomalia,0.016,0.1269,0.2466,-0.3146,0.128,-0.274,-0.645,2640.0
Anomalia,0.0112,0.1299,0.2466,-0.3146,0.1304,-0.2465,-0.829,2640.0
Anomalia,0.0089,0.1356,0.3225,-0.3146,0.1359,-0.0191,-0.7479,2640.0
Anomalia,0.0122,0.1369,0.3225,-0.2491,0.1374,0.1565,-0.9161,2640.0
Anomalia,0.0056,0.1393,0.3225,-0.2324,0.1394,0.295,-0.9607,2640.0
Anomalia,0.0176,0.1391,0.3225,-0.2324,0.1402,0.2296,-0.9617,2640.0
Anomalia,0.0131,0.1353,0.3104,-0.2339,0.1359,0.1485,-1.0274,2640.0
Anomalia,0.0094,0.1475,0.3415,-0.3434,0.1478,-0.0195,-0.7201,2400.0
Anomalia,0.0128,0.1588,0.3415,-0.3434,0.1593,-0.0064,-0.8622,2640.0
Anomalia,-0.0043,0.1825,0.3415,-0.4335,0.1825,-0.0368,-0.9516,2640.0
Anomalia,0.012,0.2165,0.4283,-0.4335,0.2168,0.046,-1.1519,2640.0
Anomalia,0.014,0.2108,0.4283,-0.4335,0.2113,0.109,-1.0674,2640.0
Anomalia,0.0133,0.1951,0.4283,-0.4335,0.1955,0.1159,-0.6417,2880.0
Anomalia,0.0132,0.1723,0.4283,-0.3645,0.1728,0.3981,-0.2602,2880.0
Anomalia,-0.0001,0.1408,0.3697,-0.3607,0.1408,-0.0253,-0.3927,2880.0
Anomalia,-0.0,0.1857,0.4754,-0.4552,0.1857,0.0483,0.1139,2880.0
Anomalia,0.0082,0.1972,0.4754,-0.4552,0.1974,0.018,-0.3691,2880.0
Anomalia,0.0177,0.1966,0.4754,-0.4552,0.1974,-0.0634,-0.3401,2880.0
Anomalia,0.0193,0.1862,0.4754,-0.4552,0.1872,0.0285,-0.0199,2880.0
Anomalia,0.0258,0.1511,0.3624,-0.2866,0.1532,0.1316,-0.8427,2880.0
Anomalia,0.0014,0.1369,0.3624,-0.2866,0.1369,0.3918,-0.2219,2880.0
Anomalia,0.007,0.1371,0.3624,-0.2866,0.1373,0.3047,-0.2751,2880.0
Anomalia,0.0079,0.1441,0.3624,-0.2866,0.1443,0.2284,-0.5727,2880.0
Anomalia,0.0038,0.1124,0.2424,-0.242,0.1124,0.0922,-0.8577,2880.0
Anomalia,0.0252,0.1141,0.2635,-0.2255,0.1168,-0.0388,-0.9795,2880.0
Anomalia,0.0109,0.1448,0.3088,-0.3361,0.1452,-0.2304,-0.5968,2880.0
Anomalia,0.0038,0.1649,0.343,-0.3369,0.1649,-0.153,-0.7409,2640.0
Anomalia,0.0016,0.1711,0.343,-0.3369,0.1711,-0.1212,-0.9574,2640.0
Anomalia,-0.0072,0.1915,0.3617,-0.3369,0.1916,0.0608,-1.1566,2880.0
Anomalia,0.0098,0.1949,0.4143,-0.3369,0.1951,0.0823,-1.1052,2880.0
Anomalia,0.0188,0.1902,0.4143,-0.3342,0.1911,0.098,-1.0947,2880.0
Anomalia,0.019,0.1951,0.4143,-0.3342,0.196,0.0929,-1.1627,2880.0
Anomalia,0.0167,0.1763,0.4143,-0.3342,0.1771,0.1257,-0.9776,2880.0
Anomalia,0.0041,0.1451,0.3432,-0.2741,0.1452,0.1823,-0.7143,2640.0
Anomalia,0.0004,0.1217,0.3075,-0.2608,0.1217,0.1284,-0.7273,2640.0
Anomalia,0.0103,0.1054,0.2186,-0.2222,0.106,0.0716,-0.9111,2640.0
Anomalia,0.0141,0.1046,0.2186,-0.1951,0.1056,0.1424,-0.9572,2400.0
Anomalia,0.0156,0.0996,0.2186,-0.1951,0.1008,0.1391,-0.6978,2400.0
Anomalia,0.01,0.0906,0.2186,-0.1951,0.0912,0.2202,-0.3553,3360.0
Anomalia,0.0004,0.0782,0.2001,-0.1951,0.0782,0.0242,-0.1378,2880.0
Anomalia,0.0033,0.1061,0.3405,-0.296,0.1061,0.2538,1.2221,2880.0
Anomalia,0.0067,0.1372,0.3405,-0.31,0.1374,0.1711,0.0051,2880.0
Anomalia,0.0156,0.1528,0.3405,-0.31,0.1536,-0.0407,-0.5293,2880.0
Anomalia,0.0085,0.1873,0.3405,-0.3599,0.1875,-0.0621,-1.0983,2880.0
Anomalia,0.0105,0.1866,0.3263,-0.3599,0.1869,-0.079,-1.1239,2880.0
