Scenario,AccX_Mean,AccX_Std,AccX_Max,AccX_Min,AccX_RMS,AccX_Skew,AccX_Kurt,AccX_PeakFreq_Hz
Anomalia,0.0218,0.2051,0.6014,-0.5149,0.2062,-0.2603,-0.144,5040.0
Anomalia,0.0157,0.2249,0.6987,-0.5149,0.2254,0.058,-0.1258,5040.0
Anomalia,0.0374,0.224,0.6987,-0.5149,0.2271,-0.0973,-0.0998,5040.0
Anomalia,0.0217,0.2303,0.6987,-0.5149,0.2313,-0.0085,-0.3218,3360.0
Anomalia,0.0443,0.1821,0.6987,-0.4193,0.1874,0.056,0.2598,5280.0
Anomalia,0.0472,0.1839,0.6498,-0.3146,0.1898,0.1747,0.1733,3360.0
Anomalia,0.0191,0.2087,0.7168,-0.3753,0.2096,0.6012,0.5331,2880.0
Anomalia,0.0298,0.238,0.7168,-0.5685,0.2399,0.3924,0.1481,5280.0
Anomalia,0.0311,0.2818,0.7168,-0.6459,0.2835,0.2406,-0.4606,5280.0
Anomalia,0.0088,0.2875,0.7168,-0.6459,0.2876,0.2202,-0.5744,3360.0
Anomalia,0.0463,0.2813,0.6603,-0.6459,0.285,-0.023,-0.4868,3360.0
Anomalia,0.0218,0.2663,0.6603,-0.6459,0.2671,0.0178,-0.2008,3360.0
Anomalia,0.015,0.2284,0.6603,-0.5662,0.2289,0.0929,0.1693,3360.0
Anomalia,0.0316,0.2231,0.6603,-0.5662,0.2254,-0.0466,0.3676,3360.0
Anomalia,0.0117,0.2094,0.5336,-0.5662,0.2098,-0.2384,0.0626,3120.0
Anomalia,0.0414,0.1921,0.5336,-0.5272,0.1965,-0.1182,-0.0029,960.0
Anomalia,0.0404,0.1915,0.5336,-0.5272,0.1958,-0.3402,0.1169,2640.0
Anomalia,0.0415,0.1621,0.4145,-0.4051,0.1673,-0.1493,-0.3968,3840.0
Anomalia,0.0339,0.1602,0.3893,-0.4051,0.1638,-0.4645,-0.1794,3840.0
Anomalia,0.0197,0.1907,0.5447,-0.5476,0.1917,-0.2958,-0.0838,3840.0
Anomalia,0.0117,0.2074,0.5447,-0.5476,0.2078,-0.0796,-0.0329,4080.0
Anomalia,0.0333,0.2161,0.5447,-0.5476,0.2187,-0.1448,-0.1584,5280.0
Anomalia,0.032,0.2133,0.5447,-0.5476,0.2156,-0.0307,-0.1561,5280.0
Anomalia,0.0497,0.1763,0.5332,-0.5067,0.1831,-0.0381,0.6022,3360.0
Anomalia,0.0416,0.1544,0.4733,-0.2781,0.1599,0.3254,-0.1551,3360.0
Anomalia,0.0177,0.1348,0.4074,-0.2781,0.1359,0.3275,-0.0514,960.0
Anomalia,0.0288,0.1229,0.4074,-0.2781,0.1262,0.2213,0.2346,960.0
Anomalia,0.0167,0.1209,0.4074,-0.2781,0.122,0.3144,0.0966,960.0
Anomalia,0.0229,0.0948,0.266,-0.1819,0.0975,0.2616,-0.4666,960.0
Anomalia,0.0327,0.1071,0.377,-0.2224,0.112,0.4007,0.2273,960.0
Anomalia,0.0188,0.107,0.377,-0.2224,0.1086,0.6016,0.4833,960.0
Anomalia,0.0404,0.1518,0.5411,-0.3175,0.157,0.9257,1.168,3120.0
Anomalia,0.027,0.2266,0.5574,-0.737,0.2282,-0.1853,0.9898,720.0
Anomalia,0.0321,0.2389,0.5574,-0.737,0.2411,-0.1695,0.538,3120.0
Anomalia,0.0441,0.2605,0.5574,-0.737,0.2642,-0.307,-0.0917,2880.0
Anomalia,0.0131,0.2455,0.5574,-0.737,0.2458,-0.2905,0.0959,2880.0
Anomalia,0.0357,0.1982,0.5124,-0.4393,0.2014,0.0462,-0.1978,2880.0
Anomalia,0.019,0.2306,0.5989,-0.5743,0.2313,0.0098,-0.1736,2880.0
Anomalia,0.0079,0.2511,0.5989,-0.5743,0.2512,0.1746,-0.4131,2880.0
