Scenario,AccX_Mean,AccX_Std,AccX_Max,AccX_Min,AccX_RMS,AccX_Skew,AccX_Kurt,AccX_PeakFreq_Hz
Anomalia,0.0197,0.4587,1.4135,-1.103,0.4592,0.0939,0.2827,3360.0
Anomalia,-0.0049,0.3281,0.838,-0.9991,0.3282,-0.3101,0.6758,3360.0
Anomalia,0.022,0.2303,0.4958,-0.6356,0.2314,-0.1892,-0.4102,3360.0
Anomalia,-0.0388,0.7081,2.9201,-3.6846,0.7091,-1.2521,11.2161,2880.0
Anomalia,0.018,1.3249,4.5076,-4.3219,1.325,0.1193,3.3295,2880.0
Anomalia,-0.0076,1.5886,4.5076,-4.3219,1.5886,0.0915,0.6991,3360.0
Anomalia,0.0174,1.6362,4.5076,-4.3219,1.6363,0.0524,0.3096,3360.0
Anomalia,0.0603,1.5199,4.5076,-4.3219,1.5211,0.1293,0.7488,3360.0
Anomalia,-0.0009,1.0456,2.9389,-2.8475,1.0456,0.0049,0.5972,3360.0
Anomalia,0.0282,0.5737,1.4761,-1.1514,0.5744,0.1999,-0.4778,3600.0
Anomalia,-0.0179,0.4343,0.9837,-0.9995,0.4347,0.1164,-0.5181,2880.0
Anomalia,0.0102,0.3281,0.8647,-0.6385,0.3283,0.1087,-0.7532,2880.0
Anomalia,0.0168,0.6514,3.2014,-3.2289,0.6516,0.3679,9.8893,3120.0
Anomalia,0.0063,1.5397,4.7555,-4.985,1.5397,0.071,2.5347,3360.0
Anomalia,0.0295,1.8452,4.7555,-4.985,1.8454,0.0278,0.4623,3360.0
Anomalia,0.0167,1.9633,4.7555,-4.985,1.9634,0.0261,-0.1606,3360.0
Anomalia,0.0036,1.9212,4.7555,-4.985,1.9212,0.033,-0.0547,3360.0
Anomalia,0.0205,1.3348,3.6838,-3.7677,1.335,-0.0069,0.5777,3360.0
Anomalia,-0.0025,0.8582,2.6234,-3.1621,0.8582,-0.1212,1.2376,3600.0
Anomalia,0.0015,0.5263,1.3868,-1.295,0.5263,-0.0126,0.4559,2880.0
Anomalia,0.0047,0.3358,0.7917,-0.8105,0.3358,-0.1592,-0.3277,2880.0
Anomalia,-0.0156,0.5611,2.3392,-2.7757,0.5613,-0.7526,9.0123,2880.0
Anomalia,0.0212,0.9692,3.2456,-3.0565,0.9694,0.0037,2.6454,3360.0
Anomalia,0.0061,1.1661,3.2456,-3.0565,1.1661,0.0388,0.3578,3360.0
Anomalia,0.017,1.1963,3.2456,-3.0565,1.1964,0.011,0.0577,3360.0
Anomalia,0.0224,1.1245,3.2456,-3.0565,1.1247,0.1034,0.1954,3360.0
Anomalia,0.0015,0.7957,2.2106,-2.0278,0.7957,0.0505,0.3355,3360.0
Anomalia,0.0093,0.4721,0.9795,-1.02,0.4722,-0.0153,-0.7128,3360.0
Anomalia,-0.0055,0.3716,0.8827,-0.9211,0.3716,-0.0141,-0.237,3360.0
Anomalia,0.0086,0.2613,0.5308,-0.5104,0.2615,0.0263,-1.0412,2880.0
Anomalia,-0.0075,0.487,2.0462,-2.3934,0.487,-0.3653,7.1741,2880.0
Anomalia,0.0166,0.9621,3.0599,-2.8925,0.9623,0.17,2.6828,2880.0
Anomalia,0.0161,1.1809,3.0599,-2.8925,1.181,0.085,0.3768,3360.0
Anomalia,0.016,1.2233,3.0599,-2.8925,1.2234,0.0711,-0.018,3360.0
Anomalia,0.0163,1.1763,3.0599,-2.8925,1.1764,0.1073,0.209,3360.0
Anomalia,-0.0022,0.8329,2.3667,-2.2494,0.8329,0.0042,0.8409,3360.0
Anomalia,0.0092,0.4789,1.2946,-1.5395,0.479,-0.1562,-0.0552,3360.0
Anomalia,-0.001,0.3577,0.8334,-0.8977,0.3577,-0.1444,-0.4003,2880.0
Anomalia,0.015,0.2594,0.55,-0.603,0.2599,-0.0565,-0.7665,2880.0
Anomalia,0.0308,0.502,2.6855,-1.6935,0.503,1.3474,10.6029,2880.0
Anomalia,-0.0051,1.2841,4.1245,-4.0932,1.2842,0.0213,2.9153,2880.0
Anomalia,0.032,1.5208,4.1245,-4.0932,1.5212,-0.0057,0.7045,3360.0
Anomalia,-0.0106,1.6194,4.1245,-4.0932,1.6195,0.0353,0.0041,3360.0
Anomalia,0.0003,1.6034,4.1245,-4.0932,1.6034,-0.0204,0.0146,3360.0
Anomalia,0.0185,1.0981,2.9222,-2.9664,1.0982,0.0085,0.2667,3360.0
Anomalia,-0.0097,0.7334,1.9527,-2.3091,0.7334,-0.2232,0.4679,3360.0
Anomalia,0.0189,0.5433,1.2737,-1.1159,0.5437,0.086,-0.5318,2880.0
Anomalia,-0.0072,0.3967,0.9119,-1.0717,0.3967,-0.1725,-0.1763,2880.0
Anomalia,0.0492,0.5993,3.2197,-1.9323,0.6013,1.5829,9.0458,2880.0
Anomalia,-0.0028,1.4985,4.9721,-4.9275,1.4985,0.0898,2.8805,2880.0
Anomalia,0.0472,1.8015,4.9721,-4.9275,1.8021,0.0298,0.6253,3360.0
Anomalia,-0.0024,1.9113,4.9721,-4.9275,1.9113,0.0699,-0.0305,3360.0
Anomalia,-0.0265,1.8956,4.9721,-4.9275,1.8958,0.0555,-0.0324,3360.0
Anomalia,0.0205,1.3246,3.6358,-3.4914,1.3247,0.0397,0.3401,3360.0
Anomalia,-0.0241,0.84,2.2152,-2.5937,0.8404,-0.1734,0.285,3360.0
Anomalia,0.0232,0.5655,1.5162,-1.3855,0.5659,-0.0157,-0.1239,2880.0
Anomalia,0.0022,0.361,0.8509,-0.8234,0.361,-0.1276,-0.5389,2880.0
Anomalia,0.0098,0.3393,1.3033,-0.8989,0.3395,0.4068,1.5479,2880.0
Anomalia,-0.0045,0.6418,1.9878,-1.9381,0.6419,0.0294,1.7858,2880.0
Anomalia,0.0051,0.7791,1.9878,-1.9381,0.7791,0.04,0.3047,3360.0
Anomalia,-0.0053,0.8243,1.9878,-1.9381,0.8244,0.0554,-0.2366,3360.0
Anomalia,0.0102,0.8247,1.9878,-1.9381,0.8247,-0.0262,-0.313,3360.0
Anomalia,0.0186,0.6085,1.7315,-1.6622,0.6088,0.023,0.5336,3360.0
Anomalia,0.009,0.3826,1.0508,-1.1798,0.3827,-0.0829,0.3452,3360.0
Anomalia,0.0161,0.2832,0.6419,-0.6022,0.2837,0.1243,-0.7122,2880.0
Anomalia,-0.0012,0.2179,0.4248,-0.4365,0.2179,0.0739,-0.9973,2880.0
Anomalia,0.0206,0.4398,2.4815,-1.7378,0.4403,1.3575,12.7281,2880.0
Anomalia,0.0155,1.0873,3.6905,-3.3687,1.0874,0.2226,3.1389,2880.0
Anomalia,0.0162,1.3266,3.6905,-3.3687,1.3267,0.1172,0.6351,3360.0
Anomalia,0.0037,1.3797,3.6905,-3.3687,1.3797,0.1283,0.157,3360.0
Anomalia,-0.0036,1.3523,3.6905,-3.3687,1.3523,0.104,0.2602,3360.0
Anomalia,-0.0014,0.9258,2.7398,-2.658,0.9258,0.0348,0.95,3360.0
Anomalia,0.0031,0.527,1.6689,-1.3593,0.527,0.0231,-0.1057,3360.0
Anomalia,0.0205,0.3757,0.9428,-0.8935,0.3762,-0.0135,-0.1064,2880.0
Anomalia,0.0028,0.2496,0.6682,-0.6101,0.2496,0.0837,-0.4661,2880.0
Anomalia,-0.0134,0.3649,0.9115,-2.0312,0.3651,-2.2718,11.2617,3120.0
Anomalia,0.0012,1.4183,4.4717,-4.69,1.4183,-0.0263,3.0337,3360.0
Anomalia,-0.0347,1.638,4.4717,-4.69,1.6383,0.0183,0.9461,3360.0
Anomalia,0.0232,1.8393,4.4717,-4.69,1.8395,-0.0067,-0.1294,3360.0
Anomalia,0.0171,1.8665,4.4717,-4.69,1.8666,0.0183,-0.2951,3360.0
Anomalia,0.0125,1.2834,3.5661,-3.2456,1.2834,0.0919,0.2084,3360.0
Anomalia,0.0402,0.9959,3.5661,-3.0399,0.9967,0.2724,1.7523,3360.0
Anomalia,-0.0113,0.5384,1.3263,-1.2603,0.5385,0.043,0.28,3360.0
Anomalia,0.0162,0.3898,0.9862,-0.9269,0.3902,0.1316,-0.229,2880.0
Anomalia,-0.0144,0.3926,0.881,-1.5487,0.3928,-0.5446,1.8176,2880.0
Anomalia,0.0199,1.1128,3.7773,-3.6003,1.1129,0.0534,2.9196,3120.0
Anomalia,-0.0032,1.2857,3.7773,-3.6003,1.2857,0.0715,0.8087,3360.0
Anomalia,0.02,1.3345,3.7773,-3.6003,1.3347,0.0406,0.3562,3360.0
Anomalia,0.0281,1.3395,3.7773,-3.6003,1.3398,0.0395,0.2889,3360.0
Anomalia,-0.0145,0.8359,2.3433,-2.1175,0.836,0.1443,0.3501,3360.0
Anomalia,0.0164,0.5476,1.8446,-1.28,0.5479,0.3266,0.4432,3600.0
