Scenario,AccX_Mean,AccX_RMS,AccX_Skew,AccX_Kurt,AccX_PeakFreq_Hz
Anomalia,0.0106,0.1099,-0.1399,-0.5454,2880.0
Anomalia,0.0231,0.0979,-0.0825,-0.4804,3360.0
Anomalia,0.0207,0.0952,-0.2196,-0.3488,3120.0
Anomalia,0.0228,0.0987,-0.252,-0.4462,3120.0
Anomalia,0.0264,0.1071,-0.1623,-0.5283,3120.0
Anomalia,0.0199,0.1133,0.0704,-0.7801,2640.0
Anomalia,0.0212,0.1088,0.1294,-0.8102,3360.0
Anomalia,0.0222,0.1222,0.1131,-0.5163,3360.0
Anomalia,0.0154,0.1387,0.0005,-0.4467,3360.0
Anomalia,0.0165,0.1403,-0.0795,-0.4636,3360.0
Anomalia,0.0203,0.1648,-0.1016,-0.6712,3360.0
Anomalia,0.0192,0.1634,-0.1344,-0.7578,3360.0
Anomalia,0.0268,0.142,-0.202,-0.1588,3360.0
Anomalia,0.0209,0.1464,-0.1218,-0.4636,3360.0
Anomalia,0.0097,0.1136,-0.0298,-0.7879,3360.0
Anomalia,0.0193,0.1215,0.2818,-0.3852,2880.0
Anomalia,0.0119,0.1183,0.4151,-0.1611,3360.0
Anomalia,0.0271,0.1014,0.4354,0.9121,2640.0
Anomalia,0.0314,0.1002,0.4096,1.1221,2880.0
Anomalia,0.0169,0.0657,-0.3611,-0.0406,2880.0
Anomalia,0.0203,0.063,-0.3506,0.3162,2640.0
Anomalia,0.0129,0.0855,0.2717,0.5854,2640.0
Anomalia,0.0147,0.1082,0.2801,0.36,2640.0
Anomalia,0.0174,0.1254,0.127,-0.5652,2880.0
Anomalia,0.0139,0.1332,0.1886,-0.9228,2880.0
Anomalia,0.0174,0.1303,0.1132,-0.8193,2880.0
Anomalia,0.0193,0.1376,0.0326,-0.7616,3360.0
Anomalia,0.0241,0.1368,-0.0324,-0.7162,3360.0
Anomalia,0.0283,0.1598,-0.1105,-0.9464,3360.0
Anomalia,0.0216,0.1595,-0.0327,-0.9831,3360.0
Anomalia,0.0092,0.1542,-0.0391,-0.9369,3360.0
Anomalia,0.0175,0.1531,-0.1051,-0.8823,2880.0
Anomalia,0.0176,0.1257,-0.2645,-0.5002,2880.0
Anomalia,0.0223,0.1197,-0.3624,-0.306,2880.0
Anomalia,0.034,0.0968,0.0398,-0.9199,2880.0
Anomalia,0.0172,0.0883,-0.1636,-1.0034,2880.0
Anomalia,0.0181,0.0881,-0.1076,-1.0036,2880.0
Anomalia,0.0071,0.1267,-0.7702,1.3645,2880.0
Anomalia,0.0134,0.1416,-0.3339,0.9844,2880.0
Anomalia,0.0199,0.1667,-0.3162,0.0273,2880.0
Anomalia,0.0189,0.1794,-0.209,-0.5235,2880.0
Anomalia,0.0315,0.1577,-0.0072,-0.5126,2880.0
Anomalia,0.0225,0.1475,-0.082,-0.6154,2640.0
Anomalia,0.0218,0.1211,-0.0283,-0.7876,2640.0
Anomalia,0.0199,0.1047,-0.1323,-0.9037,2880.0
