Scenario,AccX_Mean,AccX_RMS,AccX_Skew,AccX_Kurt,AccX_PeakFreq_Hz
Anomalia,0.0099,0.1518,0.1351,-0.6757,480.0
Anomalia,0.0188,0.1631,-0.3334,-0.7404,480.0
Anomalia,0.0406,0.2724,0.4337,1.7337,2880.0
Anomalia,-0.018,0.3067,0.6422,0.7525,2880.0
Anomalia,0.0311,0.3242,0.2424,-0.0353,2880.0
Anomalia,0.0071,0.3211,0.4801,0.1202,2880.0
Anomalia,0.0129,0.226,-0.0452,-0.0517,2880.0
Anomalia,0.0327,0.1593,0.3812,0.5476,2880.0
Anomalia,0.002,0.1092,-0.2377,0.0433,2880.0
Anomalia,0.0198,0.0882,-0.5206,0.2065,2400.0
Anomalia,0.0161,0.2291,0.2449,10.3593,2640.0
Anomalia,0.0429,0.5326,0.1252,2.618,2880.0
Anomalia,0.0116,0.5855,0.1207,1.0715,2880.0
Anomalia,0.0262,0.6175,0.0617,0.413,2880.0
Anomalia,0.0051,0.6039,0.1261,0.5285,2880.0
Anomalia,-0.0028,0.3749,-0.2613,-0.2418,2880.0
Anomalia,0.0141,0.2992,-0.1068,0.6844,3360.0
Anomalia,0.0082,0.2348,-0.6155,0.8678,3360.0
Anomalia,0.0256,0.1775,-0.5168,0.135,2880.0
Anomalia,0.0138,0.2291,-0.4522,2.4105,2880.0
Anomalia,0.0292,0.3788,-0.3151,1.3591,2880.0
Anomalia,0.0108,0.4027,-0.1406,0.549,3120.0
Anomalia,0.0076,0.4099,-0.1192,0.3419,3360.0
Anomalia,0.0136,0.3834,-0.1452,0.8325,3360.0
Anomalia,0.0137,0.237,-0.0043,-0.2394,3360.0
Anomalia,0.0229,0.1908,-0.1918,-0.5778,3360.0
Anomalia,0.017,0.1624,-0.1482,-0.7605,3360.0
Anomalia,0.0086,0.1681,-0.0537,-0.7487,3360.0
Anomalia,0.0125,0.1683,-0.0861,-0.6272,3360.0
Anomalia,0.0192,0.2376,-0.2729,-0.0606,3120.0
Anomalia,-0.0042,0.26,-0.1773,-0.5703,3360.0
Anomalia,0.0392,0.2766,-0.3008,-0.5254,480.0
Anomalia,0.0026,0.2731,-0.0088,-0.6104,480.0
Anomalia,0.0126,0.2186,0.0696,-0.2696,480.0
