Scenario,AccX_Mean,AccX_RMS,AccX_Skew,AccX_Kurt,AccX_PeakFreq_Hz
Normal,-0.0017,0.059,-0.7289,0.6405,240.0
Normal,0.0173,0.0478,-0.2106,-0.3415,8400.0
Normal,0.019,0.0529,-0.5706,0.2611,480.0
Normal,0.0055,0.0638,-0.3144,-0.0401,480.0
Normal,0.0104,0.0676,-0.4666,-0.2725,480.0
Normal,0.0082,0.0741,-0.2668,-0.7701,4320.0
Normal,-0.0009,0.0733,-0.2106,-0.4985,4320.0
Normal,0.0196,0.0703,-0.5862,-0.1479,4080.0
Normal,0.0065,0.0727,-0.3666,-0.4838,480.0
Normal,0.0053,0.0747,-0.4581,-0.1983,480.0
Normal,0.0111,0.077,-0.2912,-0.4412,480.0
Normal,-0.0028,0.0712,-0.1005,-0.1787,480.0
Normal,0.017,0.0725,-0.3481,-0.2557,4080.0
Normal,0.0069,0.07,-0.2043,-0.6846,4320.0
Normal,0.0105,0.0646,-0.4638,-0.5229,4320.0
Normal,0.0129,0.0618,-0.552,-0.0966,4320.0
Normal,-0.0007,0.053,-0.4722,0.2515,4320.0
Normal,0.0058,0.0483,-0.0581,-0.2952,8400.0
Normal,0.0077,0.0464,-0.0621,-0.3193,8400.0
Normal,0.0017,0.0502,-0.0736,-0.1596,240.0
Normal,0.0149,0.0645,-0.0936,-0.367,4320.0
Normal,0.0139,0.0687,-0.2854,-0.3262,4320.0
Normal,-0.0037,0.0752,0.0396,-0.8487,4320.0
Normal,0.0175,0.0821,-0.3312,-0.9542,4320.0
Normal,-0.0034,0.0781,-0.1497,-0.9258,480.0
Normal,0.0068,0.0764,-0.2083,-0.7667,480.0
Normal,0.026,0.075,-0.5361,-0.1563,480.0
Normal,-0.0003,0.0682,-0.1161,-0.4372,240.0
Normal,0.0202,0.0702,-0.14,-0.646,4320.0
Normal,0.003,0.0714,-0.1562,-0.5006,4320.0
Normal,0.0004,0.0696,-0.1772,-0.4986,4320.0
Normal,0.0167,0.0692,-0.5542,-0.0688,4320.0
Normal,0.0062,0.0607,-0.5922,-0.0769,4320.0
Normal,0.0092,0.0544,-0.1455,-0.7812,8400.0
Normal,0.012,0.0529,-0.1293,-0.7877,8400.0
Normal,-0.0011,0.0529,-0.129,-0.3875,480.0
Normal,0.0148,0.0671,0.2885,0.1508,480.0
Normal,0.0159,0.0704,-0.0346,0.1975,480.0
Normal,0.0065,0.0721,0.0498,0.0468,4320.0
Normal,0.0144,0.0718,-0.0312,0.0318,4320.0
Normal,-0.0052,0.0593,-0.3761,-0.3852,4080.0
Normal,0.0066,0.0607,0.1363,0.442,8400.0
Normal,0.0145,0.0576,0.384,0.6703,240.0
Normal,0.0114,0.0538,0.5948,1.2803,480.0
Normal,0.0212,0.0576,0.4071,0.4547,8400.0
Normal,0.0032,0.0606,-0.5292,0.5076,4320.0
Normal,0.0042,0.0649,-0.4384,-0.0239,4320.0
Normal,0.0091,0.0699,-0.5477,-0.3282,4320.0
Normal,0.0038,0.0657,-0.5129,0.0043,4320.0
Normal,0.0137,0.0589,-0.2586,-0.3894,8400.0
Normal,0.0157,0.0545,-0.4421,-0.1454,8400.0
Normal,0.004,0.0517,-0.2592,-0.2185,8400.0
Normal,0.0126,0.0568,0.0046,0.0461,480.0
