Scenario,Temp_Mean,Hum_Mean,AccX_Mean,AccX_Std,AccX_Max,AccX_Min,AccX_RMS,AccX_Skew,AccX_Kurt,AccX_PeakFreq_Hz,AccY_Mean,AccY_Std,AccY_Max,AccY_Min,AccY_RMS,AccY_Skew,AccY_Kurt,AccY_PeakFreq_Hz,AccZ_Mean,AccZ_Std,AccZ_Max,AccZ_Min,AccZ_RMS,AccZ_Skew,AccZ_Kurt,AccZ_PeakFreq_Hz
D1,21.21,37.0,3607.55,2.67,3611.0,3605.0,3607.55,0.219,-1.787,0.1,1485.15,1.19,1487.0,1484.0,1485.15,0.237,-1.619,0.1,1238.75,7.43,1246.0,1230.0,1238.77,-0.126,-1.863,0.1
D1,21.21,37.0,3609.8,1.36,3611.0,3608.0,3609.8,-0.464,-1.638,0.1,1485.9,0.62,1487.0,1485.0,1485.9,0.074,-0.477,0.2,1230.5,1.94,1235.0,1229.0,1230.5,1.756,1.467,0.2
D1,21.21,37.0,3610.45,1.53,3613.0,3608.0,3610.45,-0.531,-0.587,0.2,1485.4,0.86,1486.0,1483.0,1485.4,-1.338,0.885,0.2,1228.15,1.46,1230.0,1225.0,1228.15,-0.165,-1.063,0.1
D1,21.21,37.0,3611.2,0.6,3613.0,3611.0,3611.2,2.667,5.111,0.1,1484.05,1.5,1486.0,1482.0,1484.05,0.36,-1.54,0.1,1226.2,1.12,1228.0,1225.0,1226.2,0.025,-1.635,0.1
D1,21.21,37.0,3611.45,0.5,3612.0,3611.0,3611.45,0.201,-1.96,0.1,1483.4,0.66,1484.0,1482.0,1483.4,-0.658,-0.628,0.1,1224.75,1.22,1228.0,1223.0,1224.75,1.643,2.319,0.1
D1,21.21,37.0,3611.4,1.02,3613.0,3609.0,3611.4,-0.577,-0.268,0.1,1483.65,0.73,1485.0,1482.0,1483.65,-0.922,0.424,0.1,1224.25,1.34,1227.0,1222.0,1224.25,0.792,0.531,0.1
D1,21.21,37.0,3610.25,1.13,3613.0,3609.0,3610.25,1.142,0.858,0.1,1483.95,0.97,1485.0,1482.0,1483.95,-0.551,-0.734,0.1,1225.65,2.03,1229.0,1222.0,1225.65,0.051,-0.711,0.2
D1,21.21,37.0,3610.4,1.36,3613.0,3609.0,3610.4,0.452,-1.345,0.1,1483.9,1.18,1485.0,1482.0,1483.9,-0.538,-1.259,0.1,1226.25,2.36,1229.0,1219.0,1226.25,-1.026,2.007,0.1
D1,21.21,37.0,3611.95,1.36,3613.0,3609.0,3611.95,-1.343,0.5,0.1,1482.5,1.47,1485.0,1481.0,1482.5,0.619,-0.92,0.1,1224.85,2.78,1229.0,1219.0,1224.85,-0.585,-0.07,0.3
D1,21.21,37.0,3611.35,1.62,3613.0,3608.0,3611.35,-0.576,-0.648,0.1,1482.2,1.12,1485.0,1481.0,1482.2,0.662,-0.199,0.1,1224.85,2.46,1229.0,1219.0,1224.85,-0.435,-0.122,0.2
D1,23.97,37.0,3610.1,1.14,3611.0,3608.0,3610.1,-1.016,-0.465,0.1,1482.35,0.57,1484.0,1482.0,1482.35,1.405,0.969,0.1,1225.7,2.1,1229.0,1223.0,1225.7,0.334,-1.22,0.1
D1,30.86,37.0,3610.85,1.11,3612.0,3608.0,3610.85,-1.466,1.704,0.2,1482.55,0.5,1483.0,1482.0,1482.55,-0.201,-1.96,0.1,1224.55,2.09,1229.0,1222.0,1224.55,0.674,-0.173,0.2
D1,34.99,37.0,3612.75,2.02,3615.0,3608.0,3612.75,-0.275,-0.717,0.1,1482.2,0.98,1483.0,1481.0,1482.2,-0.408,-1.833,0.1,1221.55,3.41,1230.0,1218.0,1221.55,0.568,-0.392,0.1
D1,34.99,37.0,3614.5,1.63,3615.0,3608.0,3614.5,-3.338,9.996,0.1,1481.2,0.6,1483.0,1481.0,1481.2,2.667,5.111,0.1,1218.8,2.71,1230.0,1218.0,1218.8,3.577,11.628,0.1
D1,34.99,37.0,3612.55,3.34,3615.0,3608.0,3612.55,-0.629,-1.604,0.1,1482.1,1.7,1485.0,1481.0,1482.1,1.065,-0.769,0.1,1221.5,5.12,1230.0,1218.0,1221.51,0.937,-0.964,0.1
D1,34.99,37.0,3609.45,2.62,3615.0,3608.0,3609.45,1.396,0.196,0.1,1482.8,1.47,1485.0,1481.0,1482.8,0.537,-1.319,0.1,1224.2,3.87,1230.0,1218.0,1224.21,0.211,-0.741,0.2
D1,34.99,37.0,3610.4,1.96,3612.0,3608.0,3610.4,-0.408,-1.833,0.1,1483.2,0.98,1484.0,1482.0,1483.2,-0.408,-1.833,0.1,1224.2,0.98,1225.0,1223.0,1224.2,-0.408,-1.833,0.1
D1,35.09,37.0,3611.85,0.73,3614.0,3611.0,3611.85,1.02,1.718,0.2,1482.85,1.46,1484.0,1480.0,1482.85,-0.609,-1.381,0.1,1223.65,1.74,1225.0,1220.0,1223.65,-0.708,-1.114,0.1
D1,35.25,37.0,3611.7,1.19,3614.0,3610.0,3611.7,0.237,-1.186,0.1,1482.3,1.23,1484.0,1480.0,1482.3,0.061,-1.141,0.1,1221.75,2.34,1225.0,1216.0,1221.75,-1.098,1.15,0.2
D1,35.32,37.0,3612.3,1.38,3614.0,3610.0,3612.3,-0.434,-1.208,0.2,1482.15,1.24,1484.0,1480.0,1482.15,-0.286,-0.742,0.1,1220.7,2.79,1225.0,1216.0,1220.7,-0.144,-0.906,0.2
D1,35.32,37.0,3612.85,0.96,3614.0,3611.0,3612.85,-0.369,-0.877,0.2,1481.8,1.36,1485.0,1480.0,1481.8,0.956,0.582,0.3,1218.7,2.83,1225.0,1215.0,1218.7,0.65,0.14,0.1
D1,35.32,37.0,3613.6,1.11,3616.0,3612.0,3613.6,0.4,0.035,0.1,1482.5,2.22,1485.0,1479.0,1482.5,-0.095,-1.391,0.1,1216.35,2.41,1221.0,1210.0,1216.35,-0.648,0.693,0.2
D1,35.4,37.0,3615.25,1.18,3617.0,3614.0,3615.25,0.057,-1.633,0.1,1481.5,2.52,1485.0,1479.0,1481.5,0.403,-1.489,0.1,1214.5,2.54,1217.0,1208.0,1214.5,-0.916,0.172,0.1
D1,35.48,37.0,3615.05,1.2,3617.0,3614.0,3615.05,0.421,-1.529,0.1,1480.6,1.02,1482.0,1479.0,1480.6,-0.554,-0.933,0.1,1213.75,1.61,1216.0,1208.0,1213.75,-2.257,5.974,0.4
D1,35.49,37.0,3616.5,2.5,3619.0,3614.0,3616.5,0.0,-2.0,0.1,1479.5,1.5,1481.0,1478.0,1479.5,0.0,-2.0,0.1,1209.2,5.0,1214.0,1202.0,1209.21,-0.234,-1.661,0.1
D1,35.49,37.0,3618.85,0.36,3619.0,3618.0,3618.85,-1.96,1.843,0.1,1477.65,1.01,1479.0,1476.0,1477.65,-0.699,-0.764,0.2,1203.4,2.46,1206.0,1200.0,1203.4,-0.223,-1.562,0.1
D1,35.49,37.0,3618.45,0.5,3619.0,3618.0,3618.45,0.201,-1.96,0.1,1478.25,1.76,1480.0,1476.0,1478.25,-0.328,-1.66,0.1,1202.8,2.14,1206.0,1200.0,1202.8,-0.355,-1.406,0.1
D1,35.49,37.0,3617.6,1.28,3619.0,3615.0,3617.6,-0.937,-0.081,0.1,1479.2,1.54,1481.0,1476.0,1479.2,-0.669,-0.599,0.2,1204.7,3.48,1210.0,1200.0,1204.71,0.081,-1.199,0.2
D1,35.49,37.0,3616.8,1.5,3619.0,3615.0,3616.8,0.166,-1.393,0.1,1478.5,1.47,1481.0,1476.0,1478.5,0.428,-0.401,0.2,1206.65,3.23,1210.0,1200.0,1206.65,-1.029,-0.015,0.1
D1,35.49,37.0,3617.9,1.87,3620.0,3615.0,3617.9,-0.223,-1.398,0.1,1476.65,1.88,1479.0,1473.0,1476.65,-0.483,-0.962,0.1,1204.6,3.07,1210.0,1201.0,1204.6,0.172,-1.221,0.1
D1,35.54,36.7,3618.35,1.31,3620.0,3617.0,3618.35,0.261,-1.682,0.1,1477.15,2.24,1480.0,1473.0,1477.15,-0.427,-1.122,0.1,1202.55,2.09,1206.0,1199.0,1202.55,0.078,-1.323,0.1
D1,35.79,35.2,3618.5,1.24,3621.0,3617.0,3618.5,0.389,-0.622,0.1,1477.7,2.24,1480.0,1474.0,1477.7,-0.585,-1.115,0.2,1201.1,2.68,1206.0,1197.0,1201.1,0.267,-1.214,0.1
D1,35.99,34.0,3619.45,0.8,3621.0,3619.0,3619.45,1.314,-0.162,0.1,1477.0,1.9,1480.0,1474.0,1477.0,-0.176,-0.778,0.2,1200.0,1.87,1202.0,1197.0,1200.0,-0.458,-1.245,0.1
D1,35.99,34.0,3618.35,2.35,3621.0,3614.0,3618.35,-1.0,-0.37,0.2,1478.05,1.66,1482.0,1475.0,1478.05,0.382,-0.064,0.2,1203.7,5.46,1217.0,1195.0,1203.71,0.786,-0.039,0.2
D1,35.99,34.0,3616.8,2.18,3621.0,3614.0,3616.8,0.488,-0.965,0.2,1479.0,1.58,1482.0,1475.0,1479.0,-0.455,1.048,0.1,1209.55,5.42,1217.0,1195.0,1209.56,-1.125,0.61,0.1
D1,35.99,34.0,3614.35,2.48,3619.0,3610.0,3614.35,-0.621,-0.381,0.1,1479.45,0.74,1482.0,1479.0,1479.45,2.024,4.233,0.1,1214.25,2.68,1219.0,1212.0,1214.25,0.9,-0.751,0.1
D1,35.99,34.0,3613.2,1.6,3614.0,3610.0,3613.2,-1.5,0.25,0.1,1479.8,0.4,1480.0,1479.0,1479.8,-1.5,0.25,0.1,1215.0,2.0,1219.0,1214.0,1215.0,1.5,0.25,0.1
D1,35.99,33.85,3614.0,0.0,3614.0,3614.0,3614.0,0.0,0.0,0.0,1480.0,0.0,1480.0,1480.0,1480.0,0.0,0.0,0.0,1214.0,0.0,1214.0,1214.0,1214.0,0.0,0.0,0.0
D1,35.99,33.35,3611.7,2.55,3614.0,3608.0,3611.7,-0.224,-1.914,0.1,1479.3,1.14,1482.0,1478.0,1479.3,0.196,-0.709,0.1,1221.0,7.78,1230.0,1214.0,1221.02,0.231,-1.917,0.1
D1,35.99,33.0,3609.2,1.12,3614.0,3608.0,3609.2,3.843,13.785,1.0,1478.3,0.95,1482.0,1478.0,1478.3,3.173,8.829,0.1,1229.0,3.55,1230.0,1214.0,1229.01,-3.783,12.975,0.1
D1,35.99,33.0,3609.5,0.87,3611.0,3609.0,3609.5,1.155,-0.667,0.1,1478.6,1.36,1484.0,1478.0,1478.6,3.154,9.643,0.1,1229.6,1.5,1234.0,1226.0,1229.6,0.344,2.673,0.8
D1,35.99,33.0,3611.35,1.62,3614.0,3609.0,3611.35,-0.223,-1.213,0.1,1477.05,2.87,1484.0,1473.0,1477.05,0.165,-0.255,0.1,1228.35,1.93,1234.0,1226.0,1228.35,0.916,1.337,0.1
D1,35.99,33.0,3612.75,0.7,3614.0,3611.0,3612.75,-1.377,1.606,0.4,1474.75,1.76,1479.0,1473.0,1474.75,0.605,-0.559,0.1,1228.0,1.92,1231.0,1222.0,1228.0,-1.475,2.31,0.2
D1,36.13,33.0,3612.1,1.14,3613.0,3610.0,3612.1,-0.606,-1.331,0.1,1475.05,1.12,1476.0,1473.0,1475.05,-0.96,-0.495,0.1,1229.95,2.48,1233.0,1222.0,1229.95,-1.202,2.874,0.1
D1,36.41,33.0,3612.2,1.12,3613.0,3610.0,3612.2,-0.823,-1.03,0.1,1474.75,0.83,1476.0,1474.0,1474.75,0.493,-1.372,0.1,1230.2,1.72,1233.0,1229.0,1230.2,0.867,-1.088,0.1
D1,36.55,33.0,3612.4,1.2,3613.0,3610.0,3612.4,-1.5,0.25,0.1,1475.0,2.0,1479.0,1474.0,1475.0,1.5,0.25,0.1,1229.8,1.6,1233.0,1229.0,1229.8,1.5,0.25,0.1
D1,36.55,33.0,3611.7,1.35,3614.0,3610.0,3611.7,0.064,-1.565,0.2,1476.35,1.93,1479.0,1474.0,1476.35,0.166,-1.4,0.1,1227.95,3.53,1233.0,1224.0,1227.96,0.253,-1.423,0.1
D1,36.54,33.0,3610.6,1.46,3614.0,3609.0,3610.6,0.617,-0.312,0.1,1476.55,2.71,1482.0,1474.0,1476.55,0.977,-0.232,0.1,1229.05,4.62,1237.0,1224.0,1229.06,0.348,-1.151,0.1
D1,36.54,33.0,3610.7,1.31,3612.0,3609.0,3610.7,-0.373,-1.609,0.1,1478.4,3.32,1482.0,1474.0,1478.4,-0.45,-1.558,0.1,1230.1,4.75,1237.0,1225.0,1230.11,0.273,-1.359,0.1
D1,36.54,33.0,3611.15,1.01,3612.0,3608.0,3611.15,-1.455,2.134,0.1,1478.35,2.55,1482.0,1475.0,1478.35,-0.375,-1.47,0.1,1228.3,5.1,1237.0,1221.0,1228.31,0.429,-1.264,0.3
D1,36.54,33.0,3610.0,1.38,3612.0,3608.0,3610.0,-0.573,-1.31,0.1,1476.4,1.77,1480.0,1475.0,1476.4,0.623,-1.285,0.2,1229.35,4.1,1234.0,1221.0,1229.36,-0.53,-0.731,0.1
D1,36.54,33.0,3610.2,1.29,3611.0,3608.0,3610.2,-1.077,-0.771,0.1,1477.15,1.31,1478.0,1475.0,1477.15,-0.938,-1.058,0.1,1231.15,2.43,1233.0,1227.0,1231.15,-1.048,-0.751,0.1
D1,36.54,33.0,3610.6,0.49,3611.0,3610.0,3610.6,-0.408,-1.833,0.1,1477.2,1.12,1479.0,1476.0,1477.2,0.025,-1.635,0.1,1232.0,1.26,1233.0,1228.0,1232.0,-1.779,2.781,0.1
D1,36.54,33.0,3610.65,0.48,3611.0,3610.0,3610.65,-0.629,-1.604,0.1,1476.3,0.9,1479.0,1476.0,1476.3,2.667,5.111,0.1,1229.6,1.85,1232.0,1228.0,1229.6,0.406,-1.714,0.1
D1,36.54,33.0,3611.0,0.0,3611.0,3611.0,3611.0,0.0,0.0,0.0,1476.0,0.0,1476.0,1476.0,1476.0,0.0,0.0,0.0,1229.75,2.38,1233.0,1228.0,1229.75,0.629,-1.604,0.1
D1,36.54,33.0,3609.7,1.45,3611.0,3608.0,3609.7,-0.253,-1.894,0.1,1477.55,2.01,1480.0,1475.0,1477.55,0.369,-1.797,0.1,1232.75,2.07,1235.0,1228.0,1232.75,-1.658,1.277,0.1
D1,36.54,33.0,3608.35,0.73,3611.0,3608.0,3608.35,2.488,6.03,0.3,1479.45,1.47,1481.0,1475.0,1479.45,-1.856,2.987,0.1,1235.5,2.62,1240.0,1233.0,1235.5,1.104,-0.703,0.1
D1,36.54,33.0,3607.55,1.63,3611.0,3605.0,3607.55,-0.368,-0.383,0.2,1479.45,0.74,1481.0,1479.0,1479.45,1.283,0.03,0.1,1237.75,2.49,1240.0,1234.0,1237.75,-0.591,-1.333,0.1
D1,36.54,33.0,3605.9,1.67,3611.0,3605.0,3605.9,1.703,1.908,0.1,1479.05,0.22,1480.0,1479.0,1479.05,4.129,15.053,0.3,1238.25,1.09,1240.0,1235.0,1238.25,-0.507,2.288,0.2
D1,36.54,33.0,3606.5,1.5,3608.0,3605.0,3606.5,0.0,-2.0,0.1,1478.5,0.5,1479.0,1478.0,1478.5,0.0,-2.0,0.1,1236.0,2.0,1238.0,1234.0,1236.0,0.0,-2.0,0.1
D1,36.54,33.0,3608.0,0.0,3608.0,3608.0,3608.0,0.0,0.0,0.0,1478.0,0.0,1478.0,1478.0,1478.0,0.0,0.0,0.0,1234.0,0.0,1234.0,1234.0,1234.0,0.0,0.0,0.0
D1,36.54,33.0,3607.7,0.9,3608.0,3605.0,3607.7,-2.667,5.111,0.1,1478.15,0.36,1479.0,1478.0,1478.15,1.96,1.843,0.1,1235.65,3.02,1243.0,1234.0,1235.65,1.522,0.797,0.1
D1,36.54,33.0,3607.4,1.2,3608.0,3605.0,3607.4,-1.5,0.25,0.1,1477.35,1.15,1479.0,1476.0,1477.35,-0.122,-1.57,0.1,1237.75,3.08,1243.0,1234.0,1237.75,0.543,-0.757,0.1
D1,36.54,33.0,3607.7,0.9,3608.0,3605.0,3607.7,-2.667,5.111,0.1,1476.2,0.6,1478.0,1476.0,1476.2,2.667,5.111,0.1,1237.6,1.8,1243.0,1237.0,1237.6,2.667,5.111,0.1
D1,36.54,33.0,3609.0,2.0,3613.0,3608.0,3609.0,1.5,0.25,0.1,1476.5,0.74,1478.0,1476.0,1476.5,1.103,-0.314,0.1,1235.45,2.75,1237.0,1230.0,1235.45,-1.443,0.164,0.1
