Scenario,Temp_Mean,Hum_Mean,AccX_Mean,AccX_Std,AccX_Max,AccX_Min,AccX_RMS,AccX_Skew,AccX_Kurt,AccX_PeakFreq_Hz,AccY_Mean,AccY_Std,AccY_Max,AccY_Min,AccY_RMS,AccY_Skew,AccY_Kurt,AccY_PeakFreq_Hz,AccZ_Mean,AccZ_Std,AccZ_Max,AccZ_Min,AccZ_RMS,AccZ_Skew,AccZ_Kurt,AccZ_PeakFreq_Hz
D4_D1eD2,21.21,37.0,3689.75,1.22,3691.0,3687.0,3689.75,-1.499,1.099,0.2,1455.5,1.72,1458.0,1450.0,1455.5,-1.036,3.161,0.3,1064.75,1.09,1068.0,1063.0,1064.75,0.507,2.288,0.2
D4_D1eD2,21.21,37.0,3689.05,1.5,3691.0,3687.0,3689.05,-0.263,-1.338,0.1,1455.55,1.75,1458.0,1450.0,1455.55,-1.099,2.921,0.3,1065.35,1.53,1068.0,1063.0,1065.35,-0.095,-1.007,0.1
D4_D1eD2,21.21,37.0,3688.55,0.86,3690.0,3687.0,3688.55,-0.386,-0.582,0.1,1455.85,1.62,1459.0,1454.0,1455.85,1.3,-0.014,0.1,1065.9,1.73,1069.0,1063.0,1065.9,-0.542,-0.796,0.1
D4_D1eD2,21.21,37.0,3688.25,0.43,3689.0,3688.0,3688.25,1.155,-0.667,0.1,1455.7,1.68,1459.0,1454.0,1455.7,1.371,0.131,0.1,1067.2,2.25,1069.0,1063.0,1067.2,-1.067,-0.383,0.1
D4_D1eD2,21.21,37.0,3688.3,0.71,3690.0,3688.0,3688.3,1.96,1.843,0.1,1454.3,0.95,1456.0,1452.0,1454.3,-0.975,1.004,0.1,1068.1,1.48,1069.0,1062.0,1068.1,-3.412,11.489,0.1
D4_D1eD2,21.21,37.0,3688.95,0.86,3691.0,3688.0,3688.95,0.561,-0.474,0.2,1453.4,1.28,1456.0,1451.0,1453.4,0.08,0.098,0.4,1066.4,2.03,1068.0,1062.0,1066.4,-1.298,0.453,0.4
D4_D1eD2,21.21,37.0,3690.15,0.96,3691.0,3689.0,3690.15,-0.303,-1.853,0.1,1453.5,1.07,1456.0,1451.0,1453.5,-0.608,1.471,0.1,1063.7,2.1,1067.0,1062.0,1063.7,0.464,-1.701,0.1
D4_D1eD2,21.21,37.0,3691.0,0.0,3691.0,3691.0,3691.0,0.0,0.0,0.0,1454.0,0.0,1454.0,1454.0,1454.0,0.0,0.0,0.0,1062.0,0.0,1062.0,1062.0,1062.0,0.0,0.0,0.0
D4_D1eD2,21.21,37.0,3690.6,0.49,3691.0,3690.0,3690.6,-0.408,-1.833,0.1,1454.4,0.49,1455.0,1454.0,1454.4,0.408,-1.833,0.1,1064.4,2.94,1068.0,1062.0,1064.4,0.408,-1.833,0.1
D4_D1eD2,21.21,37.0,3687.8,5.04,3691.0,3673.0,3687.8,-2.471,4.495,0.1,1452.3,8.79,1456.0,1426.0,1452.33,-2.644,5.04,0.2,1078.3,33.94,1180.0,1062.0,1078.83,2.653,5.071,0.2
D4_D1eD2,24.66,37.0,3679.9,7.08,3690.0,3673.0,3679.91,0.391,-1.769,0.1,1449.45,13.61,1459.0,1426.0,1449.51,-1.117,-0.696,0.1,1107.25,44.46,1180.0,1067.0,1108.14,0.803,-0.946,0.1
D4_D1eD2,31.54,37.0,3674.7,0.71,3675.0,3673.0,3674.7,-1.96,1.843,0.1,1454.05,11.78,1459.0,1426.0,1454.1,-1.96,1.843,0.1,1112.85,28.21,1180.0,1101.0,1113.21,1.96,1.843,0.1
