Timestamp,Scenario,Temp,Hum,AccX,AccY,AccZ,Sample
19:38:52,D0,19.66,72.0,3685.0,1442.0,1082.0,0,1
19:38:53,D0,19.66,72.0,3685.0,1442.0,1082.0,0,2
19:38:53,D0,19.66,72.0,3685.0,1442.0,1082.0,0,3
19:38:54,D0,19.66,72.0,3685.0,1442.0,1082.0,0,4
19:38:55,D0,19.66,72.0,3687.0,1442.0,1083.0,0,5
19:38:55,D0,19.66,72.0,3687.0,1442.0,1083.0,0,6
19:38:56,D0,19.66,72.0,3686.0,1443.0,1081.0,0,7
19:38:56,D0,19.66,72.0,3687.0,1447.0,1082.0,0,8
19:38:57,D0,19.66,72.0,3687.0,1447.0,1082.0,0,9
19:38:57,D0,19.66,72.0,3687.0,1447.0,1082.0,0,10
19:38:58,D0,19.66,72.0,3687.0,1447.0,1082.0,0,11
19:38:58,D0,19.66,72.0,3687.0,1445.0,1083.0,0,12
19:38:59,D0,19.66,72.0,3689.0,1445.0,1082.0,0,13
19:39:00,D0,19.66,72.0,3687.0,1443.0,1082.0,0,14
19:39:00,D0,19.66,72.0,3687.0,1443.0,1082.0,0,15
19:39:01,D0,19.66,72.0,3687.0,1443.0,1082.0,0,16
19:39:02,D0,19.66,72.0,3687.0,1443.0,1082.0,0,17
19:39:02,D0,19.66,72.0,3687.0,1443.0,1082.0,0,18
19:39:03,D0,19.66,72.0,3687.0,1443.0,1082.0,0,19
19:39:03,D0,19.66,72.0,3687.0,1443.0,1082.0,0,20
19:39:04,D0,19.66,72.0,3687.0,1443.0,1082.0,0,21
19:39:04,D0,19.66,72.0,3687.0,1443.0,1082.0,0,22
19:39:05,D0,19.66,72.0,3687.0,1446.0,1084.0,0,23
19:39:05,D0,19.66,72.0,3687.0,1444.0,1080.0,0,24
19:39:06,D0,19.66,72.0,3687.0,1444.0,1080.0,0,25
19:39:07,D0,19.32,72.0,3691.0,1441.0,1081.0,0,26
19:39:07,D0,19.32,72.0,3691.0,1441.0,1081.0,0,27
19:39:08,D0,19.32,72.0,3687.0,1443.0,1080.0,0,28
19:39:08,D0,19.32,72.0,3687.0,1443.0,1080.0,0,29
19:39:09,D0,19.32,72.0,3687.0,1443.0,1080.0,0,30
19:39:09,D0,19.32,72.0,3687.0,1444.0,1080.0,0,31
19:39:10,D0,19.32,72.0,3687.0,1444.0,1080.0,0,32
19:39:10,D0,19.32,72.0,3685.0,1442.0,1081.0,0,33
19:39:11,D0,19.32,72.0,3685.0,1442.0,1081.0,0,34
19:39:11,D0,19.32,72.0,3685.0,1442.0,1081.0,0,35
19:39:12,D0,19.32,72.0,3685.0,1442.0,1081.0,0,36
19:39:13,D0,19.32,72.0,3686.0,1444.0,1082.0,0,37
19:39:13,D0,19.32,72.0,3686.0,1444.0,1082.0,0,38
19:39:14,D0,19.32,72.0,3686.0,1444.0,1082.0,0,39
19:39:14,D0,19.32,72.0,3688.0,1444.0,1082.0,0,40
19:39:15,D0,19.32,72.0,3689.0,1444.0,1082.0,0,41
19:39:15,D0,19.32,72.0,3689.0,1444.0,1082.0,0,42
19:39:16,D0,19.32,72.0,3689.0,1444.0,1082.0,0,43
19:39:17,D0,19.32,72.0,3689.0,1444.0,1082.0,0,44
19:39:17,D0,19.32,72.0,3689.0,1444.0,1082.0,0,45
19:39:18,D0,19.32,72.0,3689.0,1444.0,1082.0,0,46
19:39:18,D0,19.32,72.0,3687.0,1446.0,1084.0,0,47
19:39:19,D0,19.32,72.0,3687.0,1446.0,1084.0,0,48
19:39:19,D0,19.32,72.0,3687.0,1446.0,1084.0,0,49
19:39:20,D0,19.32,72.0,3687.0,1446.0,1084.0,0,50
19:39:20,D0,19.32,72.0,3687.0,1446.0,1084.0,0,51
19:39:21,D0,19.32,72.0,3687.0,1446.0,1084.0,0,52
19:39:21,D0,19.32,72.0,3688.0,1445.0,1081.0,0,53
19:39:22,D0,19.32,72.0,3688.0,1445.0,1081.0,0,54
19:39:22,D0,19.32,72.0,3688.0,1445.0,1081.0,0,55
19:39:23,D0,19.32,72.0,3687.0,1443.0,1082.0,0,56
19:39:24,D0,19.32,72.0,3687.0,1443.0,1082.0,0,57
19:39:24,D0,19.32,72.0,3688.0,1443.0,1083.0,0,58
19:39:25,D0,19.32,72.0,3688.0,1443.0,1080.0,0,59
19:39:25,D0,19.32,72.0,3688.0,1443.0,1080.0,0,60
19:39:26,D0,19.32,72.0,3688.0,1443.0,1080.0,0,61
19:39:27,D0,19.32,72.0,3688.0,1443.0,1080.0,0,62
19:39:27,D0,19.32,72.0,3688.0,1444.0,1081.0,0,63
19:39:28,D0,19.32,72.0,3687.0,1445.0,1079.0,0,64
19:39:28,D0,19.32,72.0,3687.0,1446.0,1081.0,0,65
19:39:29,D0,19.32,72.0,3687.0,1446.0,1081.0,0,66
19:39:29,D0,19.32,72.0,3687.0,1446.0,1081.0,0,67
19:39:30,D0,19.32,72.0,3687.0,1446.0,1081.0,0,68
19:39:30,D0,19.32,72.0,3687.0,1446.0,1081.0,0,69
19:39:31,D0,19.32,72.0,3687.0,1446.0,1081.0,0,70
19:39:31,D0,19.32,72.0,3690.0,1444.0,1080.0,0,71
19:39:32,D0,19.32,72.0,3690.0,1444.0,1080.0,0,72
19:39:32,D0,19.32,72.0,3690.0,1444.0,1080.0,0,73
19:39:33,D0,19.32,72.0,3690.0,1444.0,1080.0,0,74
19:39:33,D0,19.32,72.0,3688.0,1444.0,1082.0,0,75
19:39:34,D0,19.32,72.0,3690.0,1445.0,1080.0,0,76
19:39:34,D0,19.32,72.0,3690.0,1445.0,1080.0,0,77
19:39:35,D0,19.32,72.0,3688.0,1444.0,1084.0,0,78
19:39:36,D0,19.32,72.0,3688.0,1444.0,1084.0,0,79
19:39:36,D0,19.32,72.0,3688.0,1444.0,1084.0,0,80
19:39:37,D0,19.32,72.0,3688.0,1444.0,1084.0,0,81
19:39:37,D0,19.32,72.0,3688.0,1444.0,1084.0,0,82
19:39:38,D0,19.32,72.0,3688.0,1444.0,1084.0,0,83
19:39:38,D0,19.32,72.0,3688.0,1445.0,1080.0,0,84
19:39:39,D0,19.32,72.0,3688.0,1445.0,1080.0,0,85
19:39:39,D0,19.32,72.0,3686.0,1447.0,1083.0,0,86
19:39:40,D0,19.32,72.0,3686.0,1447.0,1083.0,0,87
19:39:40,D0,19.32,72.0,3686.0,1447.0,1083.0,0,88
19:39:41,D0,19.32,72.0,3686.0,1447.0,1083.0,0,89
19:39:41,D0,19.32,72.0,3686.0,1447.0,1083.0,0,90
19:39:42,D0,19.32,72.0,3686.0,1447.0,1083.0,0,91
19:39:42,D0,19.32,72.0,3686.0,1447.0,1083.0,0,92
19:39:43,D0,19.32,72.0,3686.0,1447.0,1083.0,0,93
19:39:43,D0,19.32,72.0,3686.0,1447.0,1083.0,0,94
19:39:44,D0,19.32,72.0,3686.0,1447.0,1083.0,0,95
19:39:44,D0,19.32,72.0,3686.0,1447.0,1083.0,0,96
19:39:45,D0,19.32,72.0,3686.0,1447.0,1083.0,0,97
