Timestamp,Scenario,Temp,Hum,AccX,AccY,AccZ,Sample
Timestamp,Scenario,Temp,Hum,AccX,AccY,AccZ,Sample
15:00:42,teste,0.0,0.0,0.0,0.0,0.0,0,1
15:00:42,teste,0.0,0.0,0.0,0.0,0.0,0,2
15:00:43,teste,0.0,0.0,0.0,0.0,0.0,0,3
15:00:44,teste,0.0,0.0,0.0,0.0,0.0,0,4
15:00:44,teste,0.0,0.0,0.0,0.0,0.0,0,5
15:00:45,teste,0.0,0.0,0.0,0.0,0.0,0,6
15:00:45,teste,0.0,0.0,0.0,0.0,0.0,1,7
15:00:46,teste,0.0,0.0,0.0,0.0,0.0,1,8
15:00:46,teste,0.0,0.0,0.0,0.0,0.0,1,9
15:00:47,teste,0.0,0.0,0.0,0.0,0.0,1,10
15:00:47,teste,0.0,0.0,0.0,0.0,0.0,1,11
15:00:48,teste,0.0,0.0,0.0,0.0,0.0,1,12
15:00:48,teste,0.0,0.0,0.0,0.0,0.0,1,13
15:00:49,teste,0.0,0.0,0.0,0.0,0.0,1,14
15:00:49,teste,0.0,0.0,0.0,0.0,0.0,1,15
15:00:50,teste,0.0,0.0,0.0,0.0,0.0,1,16
15:00:50,teste,0.0,0.0,0.0,0.0,0.0,1,17
15:00:51,teste,0.0,0.0,0.0,0.0,0.0,1,18
15:00:51,teste,0.0,0.0,0.0,0.0,0.0,1,19
15:00:52,teste,0.0,0.0,0.0,0.0,0.0,1,20
15:00:52,teste,0.0,0.0,0.0,0.0,0.0,1,21
15:00:53,teste,0.0,0.0,0.0,0.0,0.0,1,22
15:00:53,teste,0.0,0.0,0.0,0.0,0.0,1,23
15:00:54,teste,0.0,0.0,0.0,0.0,0.0,1,24
15:00:54,teste,0.0,0.0,0.0,0.0,0.0,1,25
15:00:55,teste,0.0,0.0,0.0,0.0,0.0,1,26
15:00:55,teste,0.0,0.0,0.0,0.0,0.0,1,27
15:00:56,teste,0.0,0.0,0.0,0.0,0.0,1,28
15:00:57,teste,0.0,0.0,0.0,0.0,0.0,1,29
15:00:57,teste,0.0,0.0,0.0,0.0,0.0,1,30
15:00:58,teste,0.0,0.0,0.0,0.0,0.0,1,31
15:00:58,teste,0.0,0.0,0.0,0.0,0.0,1,32
15:00:59,teste,0.0,0.0,0.0,0.0,0.0,1,33
15:00:59,teste,0.0,0.0,0.0,0.0,0.0,1,34
15:01:00,teste,0.0,0.0,0.0,0.0,0.0,1,35
