Repetition,Scenario,Detector,Adaptation,Delay (Janelas),Latency (ms),Recovery Time
1,D0,DET1,A2,N/D,0.0,Não Recuperou
2,D0,DET1,A2,N/D,0.0,Não Recuperou
3,D0,DET1,A2,N/D,0.0,Não Recuperou
4,D0,DET1,A2,N/D,0.0,Não Recuperou
5,D0,DET1,A2,N/D,0.0,Não Recuperou
1,D0,DET2,A2,39,16.475677490234375,0
2,D0,DET2,A2,39,15.788078308105469,0
3,D0,DET2,A2,39,15.633344650268555,0
4,D0,DET2,A2,39,15.65098762512207,0
5,D0,DET2,A2,39,16.091346740722656,0
1,D0,DET1,A2,N/D,0.0,Não Recuperou
2,D0,DET1,A2,N/D,0.0,Não Recuperou
3,D0,DET1,A2,N/D,0.0,Não Recuperou
4,D0,DET1,A2,N/D,0.0,Não Recuperou
5,D0,DET1,A2,N/D,0.0,Não Recuperou
1,D0,DET2,A2,39,15.697240829467773,0
2,D0,DET2,A2,39,15.610933303833008,0
3,D0,DET2,A2,39,15.752077102661133,0
4,D0,DET2,A2,39,16.248226165771484,0
5,D0,DET2,A2,39,15.627861022949219,0
1,D1,DET1,A2,9,15.565872192382812,1
2,D1,DET1,A2,9,15.511274337768555,1
3,D1,DET1,A2,9,15.553951263427734,1
4,D1,DET1,A2,9,15.55180549621582,1
5,D1,DET1,A2,9,15.688657760620117,1
1,D1,DET2,A2,19,15.644550323486328,5
2,D1,DET2,A2,19,15.64931869506836,5
3,D1,DET2,A2,19,15.827655792236328,5
4,D1,DET2,A2,19,15.583515167236328,5
5,D1,DET2,A2,19,15.576362609863281,5
1,D2,DET1,A2,16,15.66624641418457,1
2,D2,DET1,A2,16,15.585899353027344,1
3,D2,DET1,A2,16,15.774726867675781,1
4,D2,DET1,A2,16,15.619039535522461,1
5,D2,DET1,A2,16,15.625476837158203,1
1,D2,DET2,A2,19,15.70582389831543,1
2,D2,DET2,A2,19,15.672922134399414,1
3,D2,DET2,A2,19,15.621423721313477,1
4,D2,DET2,A2,19,15.596389770507812,1
5,D2,DET2,A2,19,15.754461288452148,1
1,D3,DET1,A2,117,15.722513198852539,Não Recuperou
2,D3,DET1,A2,117,15.63572883605957,Não Recuperou
3,D3,DET1,A2,117,15.814542770385742,Não Recuperou
4,D3,DET1,A2,117,16.4644718170166,Não Recuperou
5,D3,DET1,A2,117,15.702247619628906,Não Recuperou
1,D3,DET2,A2,39,15.66767692565918,0
2,D3,DET2,A2,39,15.863895416259766,0
3,D3,DET2,A2,39,15.674591064453125,0
4,D3,DET2,A2,39,15.64788818359375,0
5,D3,DET2,A2,39,15.903472900390625,0
1,D4_D1eD2,DET1,A2,9,15.661954879760742,6
2,D4_D1eD2,DET1,A2,9,15.511274337768555,6
3,D4_D1eD2,DET1,A2,9,15.520572662353516,6
4,D4_D1eD2,DET1,A2,9,15.510797500610352,6
5,D4_D1eD2,DET1,A2,9,15.610694885253906,6
1,D4_D1eD2,DET2,A2,19,15.721797943115234,1
2,D4_D1eD2,DET2,A2,19,15.620946884155273,1
3,D4_D1eD2,DET2,A2,19,15.623807907104492,1
4,D4_D1eD2,DET2,A2,19,15.639066696166992,1
5,D4_D1eD2,DET2,A2,19,15.598058700561523,1
1,D4_D2eD3,DET1,A2,13,15.566587448120117,1
2,D4_D2eD3,DET1,A2,13,15.625715255737305,1
3,D4_D2eD3,DET1,A2,13,15.54727554321289,1
4,D4_D2eD3,DET1,A2,13,15.567541122436523,1
5,D4_D2eD3,DET1,A2,13,15.54107666015625,1
1,D4_D2eD3,DET2,A2,19,15.64645767211914,1
2,D4_D2eD3,DET2,A2,19,15.61594009399414,1
3,D4_D2eD3,DET2,A2,19,15.697717666625977,1
4,D4_D2eD3,DET2,A2,19,15.68603515625,1
5,D4_D2eD3,DET2,A2,19,15.663385391235352,1
