Scenario,Detector,Adaptation,Delay (Janelas)_mean,Delay (Janelas)_std,Delay (Janelas)_min,Delay (Janelas)_max,Delay (Janelas)_count,Latency (ms)_mean,Latency (ms)_std
D0,DET1,A0,,,,,0,0.0,0.0
D0,DET1,A1,,,,,0,261.95,2.34
D0,DET1,A2,,,,,0,0.0,0.0
D0,DET2,A0,39.0,0.0,39.0,39.0,10,0.0,0.0
D0,DET2,A1,39.0,0.0,39.0,39.0,10,267.92,19.94
D0,DET2,A2,39.0,0.0,39.0,39.0,10,15.88,0.11
D1,DET1,A0,9.0,0.0,9.0,9.0,5,0.0,0.0
D1,DET1,A1,9.0,0.0,9.0,9.0,5,260.52,0.71
D1,DET1,A2,9.0,0.0,9.0,9.0,5,15.72,0.04
D1,DET2,A0,19.0,0.0,19.0,19.0,5,0.0,0.0
D1,DET2,A1,19.0,0.0,19.0,19.0,5,260.25,0.44
D1,DET2,A2,19.0,0.0,19.0,19.0,5,15.75,0.03
D2,DET1,A0,16.0,0.0,16.0,16.0,5,0.0,0.0
D2,DET1,A1,16.0,0.0,16.0,16.0,5,259.56,0.57
D2,DET1,A2,16.0,0.0,16.0,16.0,5,15.86,0.1
D2,DET2,A0,19.0,0.0,19.0,19.0,5,0.0,0.0
D2,DET2,A1,19.0,0.0,19.0,19.0,5,259.54,0.32
D2,DET2,A2,19.0,0.0,19.0,19.0,5,15.89,0.07
D3,DET1,A0,117.0,0.0,117.0,117.0,5,0.0,0.0
D3,DET1,A1,,,,,0,259.83,0.52
D3,DET1,A2,117.0,0.0,117.0,117.0,5,15.83,0.06
D3,DET2,A0,39.0,0.0,39.0,39.0,5,0.0,0.0
D3,DET2,A1,39.0,0.0,39.0,39.0,5,260.21,0.41
D3,DET2,A2,39.0,0.0,39.0,39.0,5,15.82,0.04
D4_D1eD2,DET1,A0,9.0,0.0,9.0,9.0,5,0.0,0.0
D4_D1eD2,DET1,A1,9.0,0.0,9.0,9.0,5,260.03,0.62
D4_D1eD2,DET1,A2,9.0,0.0,9.0,9.0,5,15.7,0.02
D4_D1eD2,DET2,A0,19.0,0.0,19.0,19.0,5,0.0,0.0
D4_D1eD2,DET2,A1,19.0,0.0,19.0,19.0,5,260.17,0.53
D4_D1eD2,DET2,A2,19.0,0.0,19.0,19.0,5,15.87,0.02
D4_D2eD3,DET1,A0,13.0,0.0,13.0,13.0,5,0.0,0.0
D4_D2eD3,DET1,A1,13.0,0.0,13.0,13.0,5,260.52,0.79
D4_D2eD3,DET1,A2,13.0,0.0,13.0,13.0,5,15.79,0.08
D4_D2eD3,DET2,A0,19.0,0.0,19.0,19.0,5,0.0,0.0
D4_D2eD3,DET2,A1,19.0,0.0,19.0,19.0,5,259.68,0.45
D4_D2eD3,DET2,A2,19.0,0.0,19.0,19.0,5,15.87,0.1
