Repetition,Scenario,Detector,Adaptation,Delay (Janelas),Latency (ms),Recovery Time
1,D0,DET0,A0,N/D,0.0,Não Recuperou
2,D0,DET0,A0,N/D,0.0,Não Recuperou
3,D0,DET0,A0,N/D,0.0,Não Recuperou
4,D0,DET0,A0,N/D,0.0,Não Recuperou
5,D0,DET0,A0,N/D,0.0,Não Recuperou
1,D0,DET0,A1,N/D,268.9964771270752,Não Recuperou
2,D0,DET0,A1,N/D,304.3644428253174,Não Recuperou
3,D0,DET0,A1,N/D,267.7001953125,Não Recuperou
4,D0,DET0,A1,N/D,276.22270584106445,Não Recuperou
5,D0,DET0,A1,N/D,324.0199089050293,Não Recuperou
1,D0,DET0,A2,N/D,0.0,Não Recuperou
2,D0,DET0,A2,N/D,0.0,Não Recuperou
3,D0,DET0,A2,N/D,0.0,Não Recuperou
4,D0,DET0,A2,N/D,0.0,Não Recuperou
5,D0,DET0,A2,N/D,0.0,Não Recuperou
1,D0,DET1,A0,N/D,0.0,Não Recuperou
2,D0,DET1,A0,N/D,0.0,Não Recuperou
3,D0,DET1,A0,N/D,0.0,Não Recuperou
4,D0,DET1,A0,N/D,0.0,Não Recuperou
5,D0,DET1,A0,N/D,0.0,Não Recuperou
1,D0,DET1,A1,N/D,259.41991806030273,Não Recuperou
2,D0,DET1,A1,N/D,331.1765193939209,Não Recuperou
3,D0,DET1,A1,N/D,289.98494148254395,Não Recuperou
4,D0,DET1,A1,N/D,282.65881538391113,Não Recuperou
5,D0,DET1,A1,N/D,319.171667098999,Não Recuperou
1,D0,DET1,A2,N/D,0.0,Não Recuperou
2,D0,DET1,A2,N/D,0.0,Não Recuperou
3,D0,DET1,A2,N/D,0.0,Não Recuperou
4,D0,DET1,A2,N/D,0.0,Não Recuperou
5,D0,DET1,A2,N/D,0.0,Não Recuperou
1,D0,DET2,A0,19,0.0,Não Recuperou
2,D0,DET2,A0,19,0.0,Não Recuperou
3,D0,DET2,A0,19,0.0,Não Recuperou
4,D0,DET2,A0,19,0.0,Não Recuperou
5,D0,DET2,A0,19,0.0,Não Recuperou
1,D0,DET2,A1,19,284.41882133483887,Não Recuperou
2,D0,DET2,A1,19,285.4576110839844,Não Recuperou
3,D0,DET2,A1,19,317.42119789123535,Não Recuperou
4,D0,DET2,A1,19,287.7218723297119,Não Recuperou
5,D0,DET2,A1,19,273.65994453430176,Não Recuperou
1,D0,DET2,A2,19,17.87281036376953,0
2,D0,DET2,A2,19,25.623083114624023,0
3,D0,DET2,A2,19,19.15597915649414,0
4,D0,DET2,A2,19,32.660722732543945,0
5,D0,DET2,A2,19,14.554977416992188,0
1,D1,DET0,A0,N/D,0.0,Não Recuperou
2,D1,DET0,A0,N/D,0.0,Não Recuperou
3,D1,DET0,A0,N/D,0.0,Não Recuperou
4,D1,DET0,A0,N/D,0.0,Não Recuperou
5,D1,DET0,A0,N/D,0.0,Não Recuperou
1,D1,DET0,A1,N/D,293.5516834259033,Não Recuperou
2,D1,DET0,A1,N/D,305.6144714355469,Não Recuperou
3,D1,DET0,A1,N/D,306.84804916381836,Não Recuperou
4,D1,DET0,A1,N/D,292.97494888305664,Não Recuperou
5,D1,DET0,A1,N/D,290.722131729126,Não Recuperou
1,D1,DET0,A2,N/D,0.0,Não Recuperou
2,D1,DET0,A2,N/D,0.0,Não Recuperou
3,D1,DET0,A2,N/D,0.0,Não Recuperou
4,D1,DET0,A2,N/D,0.0,Não Recuperou
5,D1,DET0,A2,N/D,0.0,Não Recuperou
1,D1,DET1,A0,9,0.0,Não Recuperou
2,D1,DET1,A0,9,0.0,Não Recuperou
3,D1,DET1,A0,9,0.0,Não Recuperou
4,D1,DET1,A0,9,0.0,Não Recuperou
5,D1,DET1,A0,9,0.0,Não Recuperou
1,D1,DET1,A1,9,296.3736057281494,Não Recuperou
2,D1,DET1,A1,9,313.6763572692871,Não Recuperou
3,D1,DET1,A1,9,308.9923858642578,Não Recuperou
4,D1,DET1,A1,9,337.4004364013672,Não Recuperou
5,D1,DET1,A1,9,310.9006881713867,Não Recuperou
1,D1,DET1,A2,9,14.45770263671875,1
2,D1,DET1,A2,9,21.4388370513916,1
3,D1,DET1,A2,9,27.051925659179688,1
4,D1,DET1,A2,9,19.331932067871094,1
5,D1,DET1,A2,9,28.418540954589844,1
1,D1,DET2,A0,19,0.0,Não Recuperou
2,D1,DET2,A0,19,0.0,Não Recuperou
3,D1,DET2,A0,19,0.0,Não Recuperou
4,D1,DET2,A0,19,0.0,Não Recuperou
5,D1,DET2,A0,19,0.0,Não Recuperou
1,D1,DET2,A1,19,311.8605613708496,Não Recuperou
2,D1,DET2,A1,19,320.1441764831543,Não Recuperou
3,D1,DET2,A1,19,300.74405670166016,Não Recuperou
4,D1,DET2,A1,19,383.9869499206543,Não Recuperou
5,D1,DET2,A1,19,398.30970764160156,Não Recuperou
1,D1,DET2,A2,19,28.071165084838867,1
2,D1,DET2,A2,19,14.081954956054688,1
3,D1,DET2,A2,19,22.30525016784668,1
4,D1,DET2,A2,19,18.50128173828125,1
5,D1,DET2,A2,19,19.599437713623047,1
1,D2,DET0,A0,N/D,0.0,Não Recuperou
2,D2,DET0,A0,N/D,0.0,Não Recuperou
3,D2,DET0,A0,N/D,0.0,Não Recuperou
4,D2,DET0,A0,N/D,0.0,Não Recuperou
5,D2,DET0,A0,N/D,0.0,Não Recuperou
1,D2,DET0,A1,N/D,427.8726577758789,Não Recuperou
2,D2,DET0,A1,N/D,496.37532234191895,Não Recuperou
3,D2,DET0,A1,N/D,401.0610580444336,Não Recuperou
4,D2,DET0,A1,N/D,333.0237865447998,Não Recuperou
5,D2,DET0,A1,N/D,441.48707389831543,Não Recuperou
1,D2,DET0,A2,N/D,0.0,Não Recuperou
2,D2,DET0,A2,N/D,0.0,Não Recuperou
3,D2,DET0,A2,N/D,0.0,Não Recuperou
4,D2,DET0,A2,N/D,0.0,Não Recuperou
5,D2,DET0,A2,N/D,0.0,Não Recuperou
1,D2,DET1,A0,12,0.0,Não Recuperou
2,D2,DET1,A0,12,0.0,Não Recuperou
3,D2,DET1,A0,12,0.0,Não Recuperou
4,D2,DET1,A0,12,0.0,Não Recuperou
5,D2,DET1,A0,12,0.0,Não Recuperou
1,D2,DET1,A1,12,320.9879398345947,Não Recuperou
2,D2,DET1,A1,12,311.0356330871582,Não Recuperou
3,D2,DET1,A1,12,280.4899215698242,Não Recuperou
4,D2,DET1,A1,12,330.26838302612305,Não Recuperou
5,D2,DET1,A1,12,307.07526206970215,Não Recuperou
1,D2,DET1,A2,12,37.393808364868164,3
2,D2,DET1,A2,12,21.239280700683594,3
3,D2,DET1,A2,12,18.023967742919922,3
4,D2,DET1,A2,12,22.940397262573242,3
5,D2,DET1,A2,12,15.767097473144531,3
1,D2,DET2,A0,19,0.0,Não Recuperou
2,D2,DET2,A0,19,0.0,Não Recuperou
3,D2,DET2,A0,19,0.0,Não Recuperou
4,D2,DET2,A0,19,0.0,Não Recuperou
5,D2,DET2,A0,19,0.0,Não Recuperou
1,D2,DET2,A1,19,379.4441223144531,Não Recuperou
2,D2,DET2,A1,19,432.5079917907715,Não Recuperou
3,D2,DET2,A1,19,294.66962814331055,Não Recuperou
4,D2,DET2,A1,19,312.0241165161133,Não Recuperou
5,D2,DET2,A1,19,455.13439178466797,Não Recuperou
1,D2,DET2,A2,19,23.162126541137695,1
2,D2,DET2,A2,19,28.104782104492188,1
3,D2,DET2,A2,19,19.050121307373047,1
4,D2,DET2,A2,19,47.4543571472168,1
5,D2,DET2,A2,19,15.655755996704102,1
1,D3,DET0,A0,N/D,0.0,Não Recuperou
2,D3,DET0,A0,N/D,0.0,Não Recuperou
3,D3,DET0,A0,N/D,0.0,Não Recuperou
4,D3,DET0,A0,N/D,0.0,Não Recuperou
5,D3,DET0,A0,N/D,0.0,Não Recuperou
1,D3,DET0,A1,N/D,272.0363140106201,Não Recuperou
2,D3,DET0,A1,N/D,308.49766731262207,Não Recuperou
3,D3,DET0,A1,N/D,363.9664649963379,Não Recuperou
4,D3,DET0,A1,N/D,297.7135181427002,Não Recuperou
5,D3,DET0,A1,N/D,259.2170238494873,Não Recuperou
1,D3,DET0,A2,N/D,0.0,Não Recuperou
2,D3,DET0,A2,N/D,0.0,Não Recuperou
3,D3,DET0,A2,N/D,0.0,Não Recuperou
4,D3,DET0,A2,N/D,0.0,Não Recuperou
5,D3,DET0,A2,N/D,0.0,Não Recuperou
1,D3,DET1,A0,117,0.0,Não Recuperou
2,D3,DET1,A0,117,0.0,Não Recuperou
3,D3,DET1,A0,117,0.0,Não Recuperou
4,D3,DET1,A0,117,0.0,Não Recuperou
5,D3,DET1,A0,117,0.0,Não Recuperou
1,D3,DET1,A1,N/D,253.84259223937988,Não Recuperou
2,D3,DET1,A1,N/D,289.51311111450195,Não Recuperou
3,D3,DET1,A1,N/D,263.0298137664795,Não Recuperou
4,D3,DET1,A1,N/D,258.9840888977051,Não Recuperou
5,D3,DET1,A1,N/D,246.88315391540527,Não Recuperou
1,D3,DET1,A2,117,14.543294906616211,1
2,D3,DET1,A2,117,14.425039291381836,1
3,D3,DET1,A2,117,15.296459197998047,1
4,D3,DET1,A2,117,16.138553619384766,1
5,D3,DET1,A2,117,13.927221298217773,1
1,D3,DET2,A0,19,0.0,Não Recuperou
2,D3,DET2,A0,19,0.0,Não Recuperou
3,D3,DET2,A0,19,0.0,Não Recuperou
4,D3,DET2,A0,19,0.0,Não Recuperou
5,D3,DET2,A0,19,0.0,Não Recuperou
1,D3,DET2,A1,19,254.59575653076172,Não Recuperou
2,D3,DET2,A1,19,259.65046882629395,Não Recuperou
3,D3,DET2,A1,19,274.5499610900879,Não Recuperou
4,D3,DET2,A1,19,257.42220878601074,Não Recuperou
5,D3,DET2,A1,19,260.30755043029785,Não Recuperou
1,D3,DET2,A2,19,22.54343032836914,1
2,D3,DET2,A2,19,15.272140502929688,1
3,D3,DET2,A2,19,14.013051986694336,1
4,D3,DET2,A2,19,16.791105270385742,1
5,D3,DET2,A2,19,28.807640075683594,1
1,D4_D1eD2,DET0,A0,N/D,0.0,Não Recuperou
2,D4_D1eD2,DET0,A0,N/D,0.0,Não Recuperou
3,D4_D1eD2,DET0,A0,N/D,0.0,Não Recuperou
4,D4_D1eD2,DET0,A0,N/D,0.0,Não Recuperou
5,D4_D1eD2,DET0,A0,N/D,0.0,Não Recuperou
1,D4_D1eD2,DET0,A1,N/D,276.7970561981201,Não Recuperou
2,D4_D1eD2,DET0,A1,N/D,341.01295471191406,Não Recuperou
3,D4_D1eD2,DET0,A1,N/D,293.98369789123535,Não Recuperou
4,D4_D1eD2,DET0,A1,N/D,275.07710456848145,Não Recuperou
5,D4_D1eD2,DET0,A1,N/D,269.8099613189697,Não Recuperou
1,D4_D1eD2,DET0,A2,N/D,0.0,Não Recuperou
2,D4_D1eD2,DET0,A2,N/D,0.0,Não Recuperou
3,D4_D1eD2,DET0,A2,N/D,0.0,Não Recuperou
4,D4_D1eD2,DET0,A2,N/D,0.0,Não Recuperou
5,D4_D1eD2,DET0,A2,N/D,0.0,Não Recuperou
1,D4_D1eD2,DET1,A0,9,0.0,Não Recuperou
2,D4_D1eD2,DET1,A0,9,0.0,Não Recuperou
3,D4_D1eD2,DET1,A0,9,0.0,Não Recuperou
4,D4_D1eD2,DET1,A0,9,0.0,Não Recuperou
5,D4_D1eD2,DET1,A0,9,0.0,Não Recuperou
1,D4_D1eD2,DET1,A1,9,284.26241874694824,Não Recuperou
2,D4_D1eD2,DET1,A1,9,333.742618560791,Não Recuperou
3,D4_D1eD2,DET1,A1,9,300.5251884460449,Não Recuperou
4,D4_D1eD2,DET1,A1,9,297.17373847961426,Não Recuperou
5,D4_D1eD2,DET1,A1,9,284.82580184936523,Não Recuperou
1,D4_D1eD2,DET1,A2,9,16.76464080810547,1
2,D4_D1eD2,DET1,A2,9,15.823602676391602,1
3,D4_D1eD2,DET1,A2,9,15.409708023071289,1
4,D4_D1eD2,DET1,A2,9,16.99542999267578,1
5,D4_D1eD2,DET1,A2,9,14.635086059570312,1
1,D4_D1eD2,DET2,A0,19,0.0,Não Recuperou
2,D4_D1eD2,DET2,A0,19,0.0,Não Recuperou
3,D4_D1eD2,DET2,A0,19,0.0,Não Recuperou
4,D4_D1eD2,DET2,A0,19,0.0,Não Recuperou
5,D4_D1eD2,DET2,A0,19,0.0,Não Recuperou
1,D4_D1eD2,DET2,A1,19,290.02833366394043,Não Recuperou
2,D4_D1eD2,DET2,A1,19,281.0204029083252,Não Recuperou
3,D4_D1eD2,DET2,A1,19,279.0043354034424,Não Recuperou
4,D4_D1eD2,DET2,A1,19,272.7832794189453,Não Recuperou
5,D4_D1eD2,DET2,A1,19,283.9508056640625,Não Recuperou
1,D4_D1eD2,DET2,A2,19,15.530586242675781,1
2,D4_D1eD2,DET2,A2,19,21.297931671142578,1
3,D4_D1eD2,DET2,A2,19,18.369674682617188,1
4,D4_D1eD2,DET2,A2,19,19.20938491821289,1
5,D4_D1eD2,DET2,A2,19,14.392614364624023,1
1,D4_D2eD3,DET0,A0,N/D,0.0,Não Recuperou
2,D4_D2eD3,DET0,A0,N/D,0.0,Não Recuperou
3,D4_D2eD3,DET0,A0,N/D,0.0,Não Recuperou
4,D4_D2eD3,DET0,A0,N/D,0.0,Não Recuperou
5,D4_D2eD3,DET0,A0,N/D,0.0,Não Recuperou
1,D4_D2eD3,DET0,A1,N/D,294.2051887512207,Não Recuperou
2,D4_D2eD3,DET0,A1,N/D,269.70887184143066,Não Recuperou
3,D4_D2eD3,DET0,A1,N/D,283.9176654815674,Não Recuperou
4,D4_D2eD3,DET0,A1,N/D,288.8021469116211,Não Recuperou
5,D4_D2eD3,DET0,A1,N/D,421.92625999450684,Não Recuperou
1,D4_D2eD3,DET0,A2,N/D,0.0,Não Recuperou
2,D4_D2eD3,DET0,A2,N/D,0.0,Não Recuperou
3,D4_D2eD3,DET0,A2,N/D,0.0,Não Recuperou
4,D4_D2eD3,DET0,A2,N/D,0.0,Não Recuperou
5,D4_D2eD3,DET0,A2,N/D,0.0,Não Recuperou
1,D4_D2eD3,DET1,A0,13,0.0,Não Recuperou
2,D4_D2eD3,DET1,A0,13,0.0,Não Recuperou
3,D4_D2eD3,DET1,A0,13,0.0,Não Recuperou
4,D4_D2eD3,DET1,A0,13,0.0,Não Recuperou
5,D4_D2eD3,DET1,A0,13,0.0,Não Recuperou
1,D4_D2eD3,DET1,A1,13,297.4214553833008,Não Recuperou
2,D4_D2eD3,DET1,A1,13,297.0266342163086,Não Recuperou
3,D4_D2eD3,DET1,A1,13,331.06279373168945,Não Recuperou
4,D4_D2eD3,DET1,A1,13,281.4664840698242,Não Recuperou
5,D4_D2eD3,DET1,A1,13,305.0858974456787,Não Recuperou
