Scenario,Detector,Adaptation,Delay (Janelas)_mean,Delay (Janelas)_std,Delay (Janelas)_min,Delay (Janelas)_max,Delay (Janelas)_count,Latency (ms)_mean,Latency (ms)_std
D0,DET0,A0,,,,,0,0.0,
D0,DET0,A1,,,,,0,276.07,
D0,DET0,A2,,,,,0,0.0,
D0,DET1,A0,,,,,0,0.0,
D0,DET1,A1,,,,,0,263.93,
D0,DET1,A2,,,,,0,0.0,
D0,DET2,A0,19.0,,19.0,19.0,1,0.0,
D0,DET2,A1,19.0,,19.0,19.0,1,296.74,
D0,DET2,A2,19.0,,19.0,19.0,1,17.94,
D1,DET0,A0,,,,,0,0.0,
D1,DET0,A1,,,,,0,265.89,
D1,DET0,A2,,,,,0,0.0,
D1,DET1,A0,9.0,,9.0,9.0,1,0.0,
D1,DET1,A1,9.0,,9.0,9.0,1,278.01,
D1,DET1,A2,9.0,,9.0,9.0,1,20.4,
D1,DET2,A0,19.0,,19.0,19.0,1,0.0,
D1,DET2,A1,19.0,,19.0,19.0,1,293.47,
D1,DET2,A2,19.0,,19.0,19.0,1,14.24,
D2,DET0,A0,,,,,0,0.0,
D2,DET0,A1,,,,,0,284.39,
D2,DET0,A2,,,,,0,0.0,
D2,DET1,A0,18.0,,18.0,18.0,1,0.0,
D2,DET1,A1,18.0,,18.0,18.0,1,303.95,
D2,DET1,A2,18.0,,18.0,18.0,1,17.8,
D2,DET2,A0,19.0,,19.0,19.0,1,0.0,
D2,DET2,A1,19.0,,19.0,19.0,1,267.3,
D2,DET2,A2,19.0,,19.0,19.0,1,19.91,
D3,DET0,A0,,,,,0,0.0,
D3,DET0,A1,,,,,0,263.25,
D3,DET0,A2,,,,,0,0.0,
D3,DET1,A0,,,,,0,0.0,
D3,DET1,A1,,,,,0,260.06,
D3,DET1,A2,,,,,0,0.0,
D3,DET2,A0,19.0,,19.0,19.0,1,0.0,
D3,DET2,A1,19.0,,19.0,19.0,1,305.42,
D3,DET2,A2,19.0,,19.0,19.0,1,15.48,
D4_D1eD2,DET0,A0,,,,,0,0.0,
D4_D1eD2,DET0,A1,,,,,0,282.96,
D4_D1eD2,DET0,A2,,,,,0,0.0,
D4_D1eD2,DET1,A0,9.0,,9.0,9.0,1,0.0,
D4_D1eD2,DET1,A1,9.0,,9.0,9.0,1,273.19,
D4_D1eD2,DET1,A2,9.0,,9.0,9.0,1,16.32,
D4_D1eD2,DET2,A0,19.0,,19.0,19.0,1,0.0,
D4_D1eD2,DET2,A1,19.0,,19.0,19.0,1,273.44,
D4_D1eD2,DET2,A2,19.0,,19.0,19.0,1,17.14,
D4_D2eD3,DET0,A0,,,,,0,0.0,
D4_D2eD3,DET0,A1,,,,,0,285.31,
D4_D2eD3,DET0,A2,,,,,0,0.0,
D4_D2eD3,DET1,A0,18.0,,18.0,18.0,1,0.0,
D4_D2eD3,DET1,A1,18.0,,18.0,18.0,1,271.76,
D4_D2eD3,DET1,A2,18.0,,18.0,18.0,1,17.31,
D4_D2eD3,DET2,A0,19.0,,19.0,19.0,1,0.0,
D4_D2eD3,DET2,A1,19.0,,19.0,19.0,1,264.12,
D4_D2eD3,DET2,A2,19.0,,19.0,19.0,1,22.69,
